video_id,content_type,emotional_manipulation,commercial_signals,child_role,privacy_concern,clickbait_level
t4JE8NivDBs,Vlog,Low,,,Low,Low
slMZxGvvW6k,Family Vlog,Medium,,Featured,Medium,Medium
arFfWwpxxak,Vlog,Medium,,,Low,Medium
bdyqE7kGDkU,Vlog,Low,,,Medium,Low
8VZSBwjHtTA,Family Vlog,High,,Featured,Medium,High
kjoE7sZSXrg,Family Vlog,Medium,,Featured,Medium,Medium
CX98KVoksBU,Family Vlog,Medium,,Implied,Medium,High
DY5_dV19DIw,Family Vlog,Medium,,,Medium,High
TMohJDNGkEY,Family Vlog,High,,,Medium,Medium
s4J2D9SUyg8,Family Vlog,Medium,,Featured,Medium,High
t3xiyg665qU,Vlog/Personal Story,High,,Central,Medium,High
87I0-o9L-Dc,error,error,error,error,error,error
c0DhyyA5vX0,Routine/Lifestyle,Medium,,Central,Medium,Medium
1Gtq18Lwg30,Routine/Lifestyle,Medium,,Central,Medium,Medium
gVKuqctGYcc,Vlog/Home Decor,Medium,,Central,Medium,Medium
BfM1XnWFJhA,Gift Exchange/Haul,Low,,Central,Medium,Low
jf3Qq8YqTpo,Vlog/Home Decor,Medium,,Central,Medium,Medium
MO0BNkMVRUM,Vlog/Life Event,High,,Central,Medium,High
wm1lmbt9OWY,Vlog/Personal Story,High,,Peripheral,High,High
MhpjEqwGraU,Vlog/Life Update,Medium,,Central,High,Medium
RmM-KBHRojo,daily_vlog,moderate,none,protagonist,high,moderate
oH2ABgxSAis,daily_vlog,mild,none,protagonist,high,mild
EH7oTydvD50,storytime,severe,none,protagonist,high,moderate
fEjMorg9mMw,daily_vlog,mild,none,protagonist,high,moderate
ZRPtcSIbYcM,daily_vlog,mild,none,protagonist,high,mild
9HOqIwD7QvY,daily_vlog,mild,none,protagonist,high,moderate
zZpt6BQRh2A,daily_vlog,none,none,co_star,high,moderate
qVxZEdRCsBg,daily_vlog,none,none,protagonist,high,mild
GzN1M6xImAk,challenge,mild,none,protagonist,high,moderate
sRBwOP4KLCQ,storytime,mild,none,protagonist,moderate,mild
ds6S-w_2upQ,storytime,mild,none,co_star,low,mild
9IHhc1dN55k,storytime,mild,none,protagonist,moderate,mild
VqkAuVHOAmU,challenge,none,none,co_star,low,none
kBDB4LSoJJM,other,none,none,co_star,low,mild
XxxiKjcOius,travel,none,none,co_star,low,none
xwSbYpZcv2U,other,none,none,cameo,low,mild
I8MedSQdUOM,daily_vlog,none,none,cameo,low,mild
ftCOldpn8k0,storytime,mild,none,protagonist,moderate,mild
8Cl8eyIiJr4,daily_vlog,none,none,co_star,low,mild
3Huq6a_JWEo,routine,mild,none,protagonist,moderate,mild
eQ5NBSi-1wY,routine,mild,none,protagonist,moderate,mild
bErOcB1Y2-A,unboxing,none,brand_mention,protagonist,low,none
7Zmio3Bijcw,daily_vlog,none,brand_mention,protagonist,moderate,none
m-RKjj88Dy4,other,none,product_placement,protagonist,low,none
sVuRD3Z_nJY,daily_vlog,none,brand_mention,protagonist,moderate,none
zksJwVxxUJ0,daily_vlog,none,brand_mention,protagonist,moderate,none
0KE2OSc55cE,storytime,none,none,unclear,low,mild
ePE9Pxzg3BE,daily_vlog,moderate,none,co_star,low,moderate
eK4DATlKnFY,storytime,moderate,none,co_star,low,moderate
aEmr_emx9no,daily_vlog,moderate,none,protagonist,high,mild
oOIs7rTPLnA,daily_vlog,mild,likely_sponsored,protagonist,high,mild
wbl9anP2SeQ,storytime,moderate,none,protagonist,high,moderate
74deQ2cKtko,challenge,none,none,co_star,low,mild
dUjAItQgdy4,challenge,none,none,co_star,low,mild
VlWVycMsRRo,challenge,none,none,co_star,low,mild
wLj0KxCLZnM,educational,none,none,co_star,low,none
lepHsB5T2UU,routine,none,none,protagonist,moderate,mild
TMdwVv7HBAI,unboxing,mild,none,protagonist,moderate,mild
m2d1vfKfDKA,challenge,none,none,protagonist,moderate,mild
0DAItd0rsuw,challenge,mild,none,co_star,low,mild
dnl7Xx9uzjw,cooking,mild,none,co_star,low,mild
2irEEpp3uu4,challenge,mild,none,co_star,low,mild
YFE-V_BXiws,challenge,mild,none,co_star,low,mild
bd4SptIzK24,unboxing,mild,none,protagonist,low,mild
UjwWn3S-1nA,challenge,mild,none,protagonist,low,mild
FyWnKruYcxA,challenge,mild,none,co_star,low,mild
kXGSBqQj4Iw,unboxing,mild,none,protagonist,low,mild
cELfkrzOBdE,other,mild,brand_mention,co_star,low,mild
cGvdEwpDwgI,unboxing,mild,none,protagonist,low,mild
b5n6dzQtNV0,unboxing,mild,brand_mention,co_star,low,mild
_KlVFEeVKCs,cooking,none,none,co_star,none,mild
PK92g7HVPmU,challenge,none,none,protagonist,none,mild
aDoh78rmjoU,routine,none,none,co_star,low,mild
Yy9uh-MW-dQ,storytime,moderate,none,co_star,low,moderate
B_rDfnPH4WQ,storytime,moderate,none,co_star,low,moderate
PO6W39wBrwk,unboxing,moderate,likely_sponsored,protagonist,low,moderate
PnZL7Q6kVmY,unboxing,mild,likely_sponsored,protagonist,low,mild
vW7xO-W1jn0,challenge,none,brand_mention,co_star,none,mild
A50E623yW9Q,challenge,none,none,co_star,none,mild
h4DN1GZwg-o,challenge,none,brand_mention,protagonist,none,mild
SXcnCHjq9xA,challenge,none,none,protagonist,none,mild
hv5Wkl0RVEo,challenge,none,none,protagonist,none,mild
EQibwMHa0gM,challenge,none,none,protagonist,none,mild
Tj5fyF-HssI,daily_vlog,none,none,protagonist,none,mild
ckYv0Oru13s,daily_vlog,none,none,protagonist,none,mild
S3_bBYyBQhI,challenge,none,brand_mention,protagonist,none,mild
CstJBEVmloY,routine,none,likely_sponsored,protagonist,none,moderate
llJ2q4DDZt4,challenge,none,none,protagonist,none,mild
K15nbVwNRBU,travel,none,none,protagonist,none,mild
sxUnnzxXEE8,travel,none,none,protagonist,low,none
UmRlk3IzOs8,other,none,none,protagonist,low,mild
aS7BJ7wrUzE,challenge,none,none,protagonist,none,none
L-EHxPd8LDE,cooking,none,none,co_star,none,none
PQwDqfNphL0,other,none,none,protagonist,none,none
FE4_PReBqGQ,challenge,none,none,protagonist,none,none
O3lVWro-fYs,challenge,none,none,protagonist,none,none
jBC2lgtRUMY,challenge,none,none,protagonist,none,none
GnuRf5w8cxo,other,none,brand_mention,protagonist,none,none
_TGCmpDccD8,challenge,mild,none,protagonist,low,mild
JpImU1yoRYE,travel,mild,none,co_star,low,mild
NSk9xv9uwA4,travel,mild,none,co_star,low,moderate
_U_zKzvHXRI,other,none,brand_mention,unclear,none,none
9F9j0LYsSVs,daily_vlog,none,none,unclear,none,none
zyEt2Uhn3ws,daily_vlog,none,none,unclear,none,none
yfc2b1fkSKQ,challenge,none,brand_mention,unclear,none,none
MyYFUwMsex0,daily_vlog,none,none,unclear,none,none
XRgrJNXTLlY,other,none,brand_mention,unclear,none,none
mCMl8lhb4qQ,other,none,brand_mention,unclear,none,none
049_6EsG-3c,challenge,none,none,unclear,none,none
NlfBvNbnf3g,reaction,none,none,unclear,low,none
8123lc0c5pA,challenge,none,brand_mention,unclear,none,none
-iXaij-AjTI,challenge,none,none,unclear,none,none
Yy5TEBYJC4E,other,none,brand_mention,unclear,none,none
9vkuOVXpUT0,storytime,none,none,unclear,low,none
_04oL2-gUpA,challenge,none,none,unclear,none,none
vwv8UeycG7c,challenge,none,none,unclear,none,none
eKhHjrkhBsE,other,none,brand_mention,unclear,none,none
Av5bjCeahEE,storytime,none,none,unclear,low,none
7Gd0sZgOVn4,unboxing,none,none,unclear,none,none
9nNIkZnrPB8,unboxing,none,brand_mention,unclear,none,none
nPrrrKNoeJE,error,error,error,error,error,error
ynqKc-_gZUA,error,error,error,error,error,error
-f4ATm07zSQ,error,error,error,error,error,error
-y2DHUdEsVg,error,error,error,error,error,error
xIhrHtSdsLw,error,error,error,error,error,error
u-de3Xs4Kys,error,error,error,error,error,error
DaS9VXhrfGM,error,error,error,error,error,error
SMs_y4yoAao,error,error,error,error,error,error
SbE1szFBJdI,error,error,error,error,error,error
LipccpBxC8A,error,error,error,error,error,error
GzWj9AZxhoU,error,error,error,error,error,error
i35m13SLONE,error,error,error,error,error,error
nJunOe2b3TQ,error,error,error,error,error,error
G0VuaZwDfFQ,error,error,error,error,error,error
_1EgbxYKO-o,error,error,error,error,error,error
CSr2QO1fvpc,error,error,error,error,error,error
tPsWyq7KPDk,error,error,error,error,error,error
YHZXMxBgRco,error,error,error,error,error,error
bmN_G2Rhq_4,error,error,error,error,error,error
AdzIIvLDW6E,error,error,error,error,error,error
KDCM794Imy8,error,error,error,error,error,error
aMyLyPTjFWE,error,error,error,error,error,error
1fXqYQHsCI4,error,error,error,error,error,error
oo4RfzHp_rU,error,error,error,error,error,error
qV4ZU_5DnBY,error,error,error,error,error,error
jh29N15JwvE,error,error,error,error,error,error
e0NqAg8_C3E,error,error,error,error,error,error
eFW1zDi09RQ,error,error,error,error,error,error
KX9A6XLGe3w,error,error,error,error,error,error
KLthvrlnu28,error,error,error,error,error,error
Bru3_mmuUGU,error,error,error,error,error,error
nr_14QTn-z4,error,error,error,error,error,error
bZvC9rV68c8,error,error,error,error,error,error
TQU3aEQEXwc,error,error,error,error,error,error
f-MW1ocGybM,error,error,error,error,error,error
HwyL15UHJFs,error,error,error,error,error,error
0Q70QThJgQE,error,error,error,error,error,error
o8uZtCwFHus,error,error,error,error,error,error
CczXvTQgC_U,error,error,error,error,error,error
29dd5Yl4ptA,error,error,error,error,error,error
d2YFghkohE4,error,error,error,error,error,error
sor0mJk1L5E,error,error,error,error,error,error
PWzt-60DPhA,error,error,error,error,error,error
0UxefeiV65Y,error,error,error,error,error,error
cscDkqMtczQ,error,error,error,error,error,error
9zbCrp2DXbQ,error,error,error,error,error,error
OxLZrCFHEGg,error,error,error,error,error,error
PqTc0daVUrA,error,error,error,error,error,error
ypfA-CbYejc,error,error,error,error,error,error
KMhhXk5Wrw0,error,error,error,error,error,error
Ermcq1E8XIQ,error,error,error,error,error,error
YSaXMXfw5sc,error,error,error,error,error,error
5yhCJUz5Ecw,error,error,error,error,error,error
R7IYG5JATY8,error,error,error,error,error,error
EXH8oEjZb9A,error,error,error,error,error,error
olFt0yQW7CQ,error,error,error,error,error,error
0dXVBVyPkHk,error,error,error,error,error,error
ROmWE_xF2HE,error,error,error,error,error,error
QYOBxHNm-cY,error,error,error,error,error,error
b4DR-rQaIhE,error,error,error,error,error,error
xXiXMnhfHrU,error,error,error,error,error,error
ZmpIycuCDzQ,error,error,error,error,error,error
WSCxp0BCuyM,error,error,error,error,error,error
bjU468oaWX0,error,error,error,error,error,error
_NegM1Ui_g8,error,error,error,error,error,error
rZdnUoIb4H4,error,error,error,error,error,error
5jshnLWpUdk,error,error,error,error,error,error
oz0Cr0f3peY,error,error,error,error,error,error
VP-RHRliPLo,error,error,error,error,error,error
aU-yRCJOuWU,error,error,error,error,error,error
yJj0D8yh_pA,error,error,error,error,error,error
0d_SebPJr7g,error,error,error,error,error,error
04SnOlc2ceM,error,error,error,error,error,error
SxclTdCfS3o,error,error,error,error,error,error
rQyvxHZbT60,error,error,error,error,error,error
mMpp3H0CDPU,error,error,error,error,error,error
nwIcM5ml1Bs,error,error,error,error,error,error
IfSqxfDQEQg,error,error,error,error,error,error
WjLNCMsh0AQ,error,error,error,error,error,error
jGlHS9IzFr8,error,error,error,error,error,error
GStE2rx0bHs,error,error,error,error,error,error
1_nMFNQhjd8,error,error,error,error,error,error
U_01DIDyfY4,error,error,error,error,error,error
cdcgqC50-Hg,error,error,error,error,error,error
Yv9-b2JF_x4,error,error,error,error,error,error
c8pHBpfLOMY,error,error,error,error,error,error
dge_GzOv-R8,error,error,error,error,error,error
RWga5mA3BVg,error,error,error,error,error,error
pX_gTkyWPQs,error,error,error,error,error,error
4h1zSd5P4u8,error,error,error,error,error,error
OzZzba5BI6w,error,error,error,error,error,error
tcFmExg-G9o,error,error,error,error,error,error
LK0zlQOVmQQ,error,error,error,error,error,error
idsK8SHjt7c,error,error,error,error,error,error
euACo4wcZFs,error,error,error,error,error,error
6RRzckqH33w,error,error,error,error,error,error
rfRPFa5MNSk,error,error,error,error,error,error
c-zHUy6IvVY,error,error,error,error,error,error
48dlI1EZ8sI,error,error,error,error,error,error
gl5gPF7oRdI,error,error,error,error,error,error
L21APqiJF7o,error,error,error,error,error,error
l-G7o2DOLfQ,error,error,error,error,error,error
JK2h7AJOkpg,error,error,error,error,error,error
SS--s8GY-mU,error,error,error,error,error,error
pIobSx4b3i4,error,error,error,error,error,error
2OT4vilAKNc,error,error,error,error,error,error
fVitH32ieaI,error,error,error,error,error,error
szErpMRp_nk,error,error,error,error,error,error
bg4DEp6Ej2o,error,error,error,error,error,error
iak6A6bMt1I,error,error,error,error,error,error
o-E3KIGDD6s,error,error,error,error,error,error
pUnAhZmIE2w,error,error,error,error,error,error
IurFhu15FFg,error,error,error,error,error,error
vcT8tLEBjdw,error,error,error,error,error,error
RhpxxCtyIo8,error,error,error,error,error,error
AwMhTJbyczQ,error,error,error,error,error,error
_bg-7wBH0VY,error,error,error,error,error,error
0bbFR3AuXBQ,error,error,error,error,error,error
NPV9437IGOw,error,error,error,error,error,error
3ec5x64cWj8,error,error,error,error,error,error
bXn7Ifdsm-E,error,error,error,error,error,error
PKFh-v5QlnA,error,error,error,error,error,error
0Sgo-JxD0BU,error,error,error,error,error,error
uYGVIbN1BF8,error,error,error,error,error,error
W2KFEGQaInI,error,error,error,error,error,error
pR47-cIl--U,error,error,error,error,error,error
Q_-5bR2vsr0,error,error,error,error,error,error
wB9tIKBFhUo,error,error,error,error,error,error
7o_VdZ5Kw9w,error,error,error,error,error,error
5UUBtJHS1oY,error,error,error,error,error,error
YeeqQl68v8Q,error,error,error,error,error,error
hlyVnuOetGI,error,error,error,error,error,error
OxoeS1XJZyo,error,error,error,error,error,error
W6-TBDJjCds,error,error,error,error,error,error
t4De2oTrlU8,error,error,error,error,error,error
CWdWtN00R0g,error,error,error,error,error,error
aUv1rhu0Uuc,error,error,error,error,error,error
V7mrMCUtkmI,error,error,error,error,error,error
_Ie3XLk-29g,error,error,error,error,error,error
UcR5wky_aNU,error,error,error,error,error,error
9N27qXBGAfQ,error,error,error,error,error,error
pvOGIgylJFI,error,error,error,error,error,error
zphbWAIgRHs,error,error,error,error,error,error
TNH7Qy8RS7Q,error,error,error,error,error,error
6W7RT6nR_mU,error,error,error,error,error,error
6xoMpEsySRs,error,error,error,error,error,error
YI1b1_itLSQ,error,error,error,error,error,error
sxfyD6yogic,error,error,error,error,error,error
WslXZrXhFgg,error,error,error,error,error,error
S4N45T06OiE,error,error,error,error,error,error
Qrw7_73gO7c,error,error,error,error,error,error
P23ukGLX8Qw,error,error,error,error,error,error
IW84-8aEEJ8,error,error,error,error,error,error
_vzMI91UHYY,error,error,error,error,error,error
h8CMdiqmuQA,error,error,error,error,error,error
j4__sFMonzQ,error,error,error,error,error,error
JAo6pmFeCPQ,error,error,error,error,error,error
DWg9AgwyrSg,error,error,error,error,error,error
fgLZtJW9nKI,error,error,error,error,error,error
YD3wU56_Zq0,error,error,error,error,error,error
QAQLEI3H6Mw,error,error,error,error,error,error
o3tdzqKt9co,error,error,error,error,error,error
aaXRfyP756U,error,error,error,error,error,error
k9GeT_NHgkM,error,error,error,error,error,error
bdGmTdYPRao,error,error,error,error,error,error
68kKDPlABxI,error,error,error,error,error,error
lRcywS97BeI,error,error,error,error,error,error
NJzscmkIjOs,error,error,error,error,error,error
1-eyDyAeVBg,error,error,error,error,error,error
Tb_w0AiSOEw,error,error,error,error,error,error
dKTiIezJN8w,error,error,error,error,error,error
4B6bR51zboo,error,error,error,error,error,error
9X0P1lw7XOg,error,error,error,error,error,error
T8VnC9_OMaE,error,error,error,error,error,error
nR9IevgOgtg,error,error,error,error,error,error
668OZu3O8Y0,error,error,error,error,error,error
P-H5Stivhag,error,error,error,error,error,error
gHjkhIjpKxQ,error,error,error,error,error,error
2daW-d5FSYM,error,error,error,error,error,error
zATCEddthfg,error,error,error,error,error,error
E7ZlgH9ThIM,error,error,error,error,error,error
FqRfx-WNxY4,error,error,error,error,error,error
ZdlRd4ttuxo,error,error,error,error,error,error
--zn3J1zc_I,error,error,error,error,error,error
pXI95qQB1nA,error,error,error,error,error,error
iKo2RovgVg4,error,error,error,error,error,error
3McZ_qRu5Mc,error,error,error,error,error,error
rF9zwd32eq0,error,error,error,error,error,error
MPG87oCD_7o,error,error,error,error,error,error
yv2zhmXaIE0,error,error,error,error,error,error
sQkAe-MGpuw,error,error,error,error,error,error
ELKGU-RWtnQ,error,error,error,error,error,error
Xsfayo0PBR4,error,error,error,error,error,error
OJPyXvhaVuw,error,error,error,error,error,error
NgmOqdfxVCw,error,error,error,error,error,error
fVWS3beWWqg,error,error,error,error,error,error
W--teAS7Dig,error,error,error,error,error,error
BlZM79OT36o,error,error,error,error,error,error
pEBqw4QjOBg,error,error,error,error,error,error
T5ymCAVzO54,error,error,error,error,error,error
uJ29aj2e9c0,error,error,error,error,error,error
XNYLhBJlk-A,error,error,error,error,error,error
uc7-TWJGwkc,error,error,error,error,error,error
ckHmuW6hwd4,error,error,error,error,error,error
mvp4EizKQc8,error,error,error,error,error,error
Ai_1wk8eRr8,error,error,error,error,error,error
fhVSuNXRsUk,error,error,error,error,error,error
6kQMWkkqUcY,error,error,error,error,error,error
oWarZz88jKo,error,error,error,error,error,error
RTuEflRCYRM,error,error,error,error,error,error
yUlPRw-mORY,error,error,error,error,error,error
z_bhV974ZjU,error,error,error,error,error,error
Z0NUtuWCdh4,error,error,error,error,error,error
jSx4ZOE_9bk,error,error,error,error,error,error
wJoSpshVlEg,error,error,error,error,error,error
iRSM-iVvkZA,error,error,error,error,error,error
DB-rgARC3mI,error,error,error,error,error,error
9eLAG8FDKk8,error,error,error,error,error,error
agNH1LQT5Cc,error,error,error,error,error,error
zyyNVB8FGOQ,error,error,error,error,error,error
G4ubiF8u6SE,error,error,error,error,error,error
7dxUvMJ5emg,error,error,error,error,error,error
Ti78pl5iXaE,error,error,error,error,error,error
_6ZNWAp654s,error,error,error,error,error,error
81NSX2uKyLQ,error,error,error,error,error,error
dynKqJp_l6A,error,error,error,error,error,error
YivFlvwAGLY,error,error,error,error,error,error
nyxKvK3NCx4,error,error,error,error,error,error
3PalH7BkHkM,error,error,error,error,error,error
Pj5cPdFdUJk,error,error,error,error,error,error
ci4efv_kOvY,error,error,error,error,error,error
YeGaysmKGdc,error,error,error,error,error,error
sDHgYYaTPZE,error,error,error,error,error,error
LKwoplQTVfU,error,error,error,error,error,error
MDV7uNs8EhE,error,error,error,error,error,error
GXrOArX-t-I,error,error,error,error,error,error
XyWco7nmmIc,error,error,error,error,error,error
lZ5yEIvdKrc,error,error,error,error,error,error
rzwhvKVevIM,error,error,error,error,error,error
oI-DRB3AZv4,error,error,error,error,error,error
1wuhGXF5fJ4,error,error,error,error,error,error
BK_-ew8CnO0,error,error,error,error,error,error
YFIEuoYsyBI,error,error,error,error,error,error
CgJuvLnvC1U,error,error,error,error,error,error
4GXBiM85bco,error,error,error,error,error,error
dFxQAGGdaVY,error,error,error,error,error,error
JhgQQN9D8DE,error,error,error,error,error,error
FsPxPJotrCg,error,error,error,error,error,error
fYDHYdDitLI,error,error,error,error,error,error
WvHlgL9YqYc,error,error,error,error,error,error
UVoyZSXTW4U,error,error,error,error,error,error
73VNcoRKIkk,error,error,error,error,error,error
Q8gVSuPG0gE,error,error,error,error,error,error
L5TUX9q7oDQ,error,error,error,error,error,error
X4VehGZqGmU,error,error,error,error,error,error
-76GYXHSX-s,error,error,error,error,error,error
ORHMjthd8d8,error,error,error,error,error,error
iql9qRZ5fmw,error,error,error,error,error,error
6qjaLmOUqjI,error,error,error,error,error,error
rgg62LTmkLI,error,error,error,error,error,error
EMe2G0CE_ec,error,error,error,error,error,error
saUa-NeHsSU,error,error,error,error,error,error
_bED-yaX10k,error,error,error,error,error,error
zIAQa90wqPA,error,error,error,error,error,error
AenwAeckZlY,error,error,error,error,error,error
iSuy6gb-qcY,error,error,error,error,error,error
5bSHHQP4sp8,error,error,error,error,error,error
RxX4qEP6Bos,error,error,error,error,error,error
CookAKjo3SE,error,error,error,error,error,error
knPXIDiTbfk,error,error,error,error,error,error
BDe61hqRR3g,error,error,error,error,error,error
Af8l036Z_60,error,error,error,error,error,error
zA3ZI8eeNhE,error,error,error,error,error,error
dt2Tir7UOSw,error,error,error,error,error,error
6axhnTzBnbE,error,error,error,error,error,error
gpK8KJ4KyAg,error,error,error,error,error,error
_-PShrq2iD0,error,error,error,error,error,error
zHcF2OuvZ40,error,error,error,error,error,error
IWrtAqoe44M,error,error,error,error,error,error
2jiWsmPUYiQ,error,error,error,error,error,error
WmM8Hy8hud0,error,error,error,error,error,error
pVKvEduIIOA,error,error,error,error,error,error
M88rOn2jZ-g,error,error,error,error,error,error
Cg2_Km6w9Bk,error,error,error,error,error,error
cQaLVb8QA1E,error,error,error,error,error,error
uLV5NDh4iTE,error,error,error,error,error,error
iKliMobjvt0,error,error,error,error,error,error
ZQRjSo4n1lQ,error,error,error,error,error,error
9z450IxanUA,error,error,error,error,error,error
Up5Aadktmy8,error,error,error,error,error,error
4tku5EQH0Y8,error,error,error,error,error,error
jSp11Njw6ZA,error,error,error,error,error,error
lvEjVZAdfFk,error,error,error,error,error,error
kOw2u6Q5pNY,error,error,error,error,error,error
MQ7iM9XxpNE,error,error,error,error,error,error
TTUX8biE7Zs,error,error,error,error,error,error
JJ5lSTe4PbE,error,error,error,error,error,error
98f0I7DdJNo,error,error,error,error,error,error
2Dk3PJ4_dUs,error,error,error,error,error,error
g_D7zNN9Vh0,error,error,error,error,error,error
Qsyt3f-PAcQ,daily_vlog,mild,none,unclear,low,moderate
xhww_-1F4kI,daily_vlog,none,brand_mention,unclear,low,mild
isUcWe9PtOo,daily_vlog,mild,none,unclear,low,mild
baFsuyOxWn8,daily_vlog,mild,none,unclear,low,moderate
dSgHDubGfks,daily_vlog,none,brand_mention,unclear,low,none
J9T9k5eXZcE,daily_vlog,mild,none,co_star,low,mild
n3c8iglUFXM,daily_vlog,mild,brand_mention,unclear,low,mild
ZgpTrmX0L20,daily_vlog,mild,none,co_star,low,mild
JN1bVz8NSxg,daily_vlog,mild,none,co_star,low,mild
buSAc9t22TY,daily_vlog,none,none,co_star,low,none
hdqvec3WNUk,daily_vlog,moderate,none,unclear,low,moderate
z_BDcu0VsBs,daily_vlog,mild,none,unclear,low,mild
hYfn7_yVcVI,daily_vlog,moderate,none,unclear,low,moderate
VVlkWZQKn7E,daily_vlog,moderate,none,protagonist,low,moderate
vtc1yNMSU1A,daily_vlog,mild,none,unclear,low,mild
5nosvqT_ZDo,daily_vlog,moderate,none,protagonist,low,moderate
i-pC6XR_e8Q,daily_vlog,moderate,none,protagonist,low,moderate
rZSOF2_b340,daily_vlog,none,none,unclear,low,mild
NeVWFfMyICU,other,none,none,unclear,none,none
NxlP_49QVE4,cooking,none,none,unclear,none,mild
GvnhGbWqdwE,daily_vlog,mild,none,protagonist,low,mild
p62dC8JcgTw,cooking,none,none,cameo,low,none
0a9x3AajepM,daily_vlog,mild,none,protagonist,low,mild
ytVxprvVae0,cooking,none,none,co_star,low,none
8HzLZ2so6sU,cooking,none,none,cameo,low,none
nlQUH48NY2s,cooking,none,none,unclear,low,moderate
TjS9uY_oZdo,daily_vlog,none,none,protagonist,low,none
JOPSEK92bbU,daily_vlog,mild,none,protagonist,low,mild
9OjndWvox20,daily_vlog,none,none,protagonist,low,none
QqPwXLFfcto,daily_vlog,none,none,protagonist,low,none
EJjVhR5gsWA,daily_vlog,mild,none,protagonist,low,mild
pEqmqvhDRkU,cooking,none,none,unclear,none,none
RDizfBqHVFU,cooking,none,none,unclear,none,mild
U_A3DHi3On8,daily_vlog,none,none,unclear,low,none
RVjnAjbDKQs,cooking,none,none,unclear,low,mild
hE4qy0tpl9s,daily_vlog,none,none,unclear,low,mild
7d9HacphP78,daily_vlog,none,none,protagonist,low,mild
sGzHiD7ecII,daily_vlog,none,none,unclear,low,none
d1Y4c4NJBBE,cooking,none,none,protagonist,low,mild
JAF4blh_Pjo,daily_vlog,none,none,unclear,low,none
brZwNdKGKUc,travel,mild,none,protagonist,low,moderate
Cbvamq9Iqh4,daily_vlog,mild,none,protagonist,low,mild
KvBHwyO0Rj4,cooking,mild,none,protagonist,low,mild
gUFneQtZgq4,daily_vlog,none,none,protagonist,low,mild
oU0Ov4X9yis,cooking,none,none,protagonist,low,mild
lK2wE0n8RKc,other,none,none,unclear,none,none
xfUkdqV88nc,routine,none,none,protagonist,low,mild
lhn6mfHUGNI,cooking,none,none,protagonist,low,mild
0c45ibGHijA,cooking,none,none,unclear,low,none
7BQbLE1Qdtw,daily_vlog,none,none,unclear,low,mild
oniVJXnWVmA,cooking,mild,none,unclear,low,mild
OYayWc5g3FA,cooking,mild,none,unclear,low,mild
g5d6ILJFrdE,cooking,none,none,unclear,low,none
aUnU3ScAKoI,cooking,mild,none,unclear,low,mild
lfv_xLjcZcY,daily_vlog,none,none,protagonist,low,none
c-hWlmTOE7E,cooking,moderate,none,co_star,low,moderate
XvXQanU82_k,cooking,none,none,unclear,low,none
JWxRVtTfClo,cooking,mild,none,unclear,low,mild
nQpqNlvWCkk,routine,mild,none,protagonist,low,none
x1zpGFs_RC8,cooking,mild,none,unclear,low,mild
tYJ7Qjwn1ys,cooking,none,none,unclear,none,mild
H1Uuw4eINtk,daily_vlog,none,none,protagonist,none,mild
0qv6FEP7RI8,daily_vlog,none,none,unclear,none,mild
mTASF8UmzQ4,daily_vlog,none,none,protagonist,none,none
1oGHTJr45F0,daily_vlog,none,none,protagonist,none,none
5ph2OFRQXX0,cooking,none,none,protagonist,none,none
JEwGkFSQN_Q,daily_vlog,none,none,unclear,none,none
vD8SiE7nEXc,daily_vlog,none,none,protagonist,none,none
mshlRumsyEs,storytime,none,none,protagonist,none,none
CGaoLEUd9mQ,daily_vlog,none,none,unclear,none,mild
CAeqZIrvhcQ,educational,none,none,protagonist,low,none
s99WvP596Fg,music_dance,none,none,protagonist,low,none
uiaB4vgJu7o,daily_vlog,none,none,co_star,low,none
H7DuWcalUSA,daily_vlog,none,none,protagonist,low,none
yD0jUXduFxU,storytime,none,none,protagonist,low,mild
yWujHKmBFp4,storytime,none,none,protagonist,low,mild
WPhh_C75DO8,daily_vlog,none,none,protagonist,low,none
skTgFd3w1pQ,storytime,none,none,protagonist,low,moderate
m8aOrPQzac0,storytime,none,none,protagonist,low,moderate
aJEkD2xZT_o,storytime,none,none,protagonist,low,moderate
WHvVBmfMzfg,storytime,moderate,none,protagonist,low,moderate
RLHtwFkzWEg,storytime,none,none,unclear,none,none
IBIB6Z6NIzA,unboxing,none,none,protagonist,low,none
y7EDKnclTro,challenge,none,none,unclear,none,none
R4McjJlVhyE,daily_vlog,none,none,protagonist,moderate,none
_yse10m2IX4,daily_vlog,mild,none,protagonist,low,mild
XFEsjYpd_LQ,travel,none,none,unclear,low,none
ei57VmereT4,travel,mild,none,unclear,low,none
57v963LUHRI,routine,none,none,unclear,low,none
lgq5AUeLYU4,storytime,mild,none,unclear,low,none
9shGv62pGHI,daily_vlog,none,none,protagonist,low,none
hpiMNc0Stdo,prank,mild,none,co_star,low,mild
bJL6-XoPytk,daily_vlog,none,none,unclear,low,none
AwMHj1uRBdk,challenge,none,none,unclear,low,mild
SNx0N-TJV2A,daily_vlog,none,none,unclear,low,none
uf9U7Bp7Ayc,prank,mild,none,protagonist,low,mild
EDZgbid5oCw,challenge,none,none,co_star,low,mild
-KWoRp7CKY0,storytime,mild,none,co_star,low,mild
coSRCEIWdlg,travel,mild,none,protagonist,low,mild
CycuQt-AB28,storytime,moderate,none,protagonist,low,moderate
psYRImS9EiQ,storytime,none,none,unclear,none,none
