video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,,HUMAN_performative_labor,HUMAN_emotional_bait,HUMAN_narrative_conflict,HUMAN_challenge_format,HUMAN_commercial_content,HUMAN_privacy_violation,HUMAN_overall_exploitative,HUMAN_notes
KG8zTBfPPRM,https://www.youtube.com/watch?v=KG8zTBfPPRM,SNEAKING OUT to HIDE his Graduation TRIP!!,ohanaadventure,167570,high_conf_exploit,0.982,YES,0.887,YES,1.0,YES,0.268,NO,0.876,YES,0.374,NO,0.731,EXPLOITATIVE,0.701,4,,,,,,,,,
rW9q5xS0kC4,https://www.youtube.com/watch?v=rW9q5xS0kC4,DON'T PICK THE WRONG DOOR! | Holiday Mystery Door Challenge | We Are The Davises,wearethedavises,2685771,random,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.894,YES,0.374,NO,0.807,EXPLOITATIVE,0.698,5,,,,,,,,,
INw1m1ri_VE,https://www.youtube.com/watch?v=INw1m1ri_VE,Recreating Baby Photos with my Ex Boyfriend!! **LEV GOT MAD**📸 🤬| Piper Rockelle,piperrockelle,4199635,high_conf_exploit,0.986,YES,1.0,YES,1.0,YES,0.268,NO,0.875,YES,0.5,ABSTAIN,0.771,EXPLOITATIVE,0.698,4,,,,,,,,,
c52sf_h0TQs,https://www.youtube.com/watch?v=c52sf_h0TQs,A week in my life as a 19 year old,annierose,8092,low_confidence,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.483,CLEAN,0.034,0,,,,,,,,,
IKlI3itXuLc,https://www.youtube.com/watch?v=IKlI3itXuLc,Parents Found My PRIVATE TikTok’s!,txunamy,26303,high_conf_exploit,0.953,YES,0.707,YES,1.0,YES,0.268,NO,0.331,NO,1.0,YES,0.71,EXPLOITATIVE,0.687,4,,,,,,,,,
eRU68U-dDn8,https://www.youtube.com/watch?v=eRU68U-dDn8,Emotional Birthday Surprise For Logan's 15th Birthday | The LeRoys,theleray,403436,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
WP5IB3IxicM,https://www.youtube.com/watch?v=WP5IB3IxicM,If Pennywise was MEXICAN,crazygorilla,190966,low_confidence,0.953,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.522,EXPLOITATIVE,0.396,2,,,,,,,,,
XStprRqY4u4,https://www.youtube.com/watch?v=XStprRqY4u4,WE SURPRISED EACH OTHER WITH THESE DREAM GIFTS **Cute Reactions**🎉  | Piper Rockelle,piperrockelle,2245151,high_conf_exploit,0.953,YES,1.0,YES,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.632,EXPLOITATIVE,0.633,3,,,,,,,,,
XXX2r_dWU3A,https://www.youtube.com/watch?v=XXX2r_dWU3A,Kids Try to Build a Fishing Boat!,kidsdianashow,2042531,low_confidence,0.994,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.49,CLEAN,0.35,2,,,,,,,,,
YPymnxtTG-0,https://www.youtube.com/watch?v=YPymnxtTG-0,Asking STRANGERS To Be My BOYFRIEND Challenge **1 DATE = $100** ❤️💵| Piper Rockelle,piperrockellesquad,9987902,high_conf_exploit,1.0,YES,0.707,YES,0.5,ABSTAIN,1.0,YES,0.894,YES,0.999,YES,0.85,EXPLOITATIVE,0.7,5,,,,,,,,,
w6lNxJxqNfQ,https://www.youtube.com/watch?v=w6lNxJxqNfQ,We CAUGHT our Son TEXTING a GIRL at 2am!! (SHOCKING) | The Royalty Family,royaltyfamily,15730505,high_conf_exploit,0.981,YES,1.0,YES,1.0,YES,0.268,NO,0.501,YES,1.0,YES,0.792,EXPLOITATIVE,0.738,5,,,,,,,,,
Qiu-JRWlqe4,https://www.youtube.com/watch?v=Qiu-JRWlqe4,EMOTIONAL Cause They Had To say Goodbye!,yawivlogs,38053,random,0.953,YES,1.0,YES,0.868,YES,0.268,NO,1.0,YES,0.999,YES,0.848,EXPLOITATIVE,0.851,5,,,,,,,,,
cYq9EhcJJjU,https://www.youtube.com/watch?v=cYq9EhcJJjU,CHRISTMAS Lunch MARATHON 🎄 Bunches Of Lunches,familyfudge,645738,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.999,YES,0.894,YES,0.374,NO,0.468,CLEAN,0.659,2,,,,,,,,,
3iBSD78ioVQ,https://www.youtube.com/watch?v=3iBSD78ioVQ,BABY CHECK UP!! SHOWING MY KIDS OUR FIRST ULTRASOUND!!,smellybellytv,151657,high_conf_clean,0.0,NO,0.92,YES,0.305,NO,0.268,NO,0.331,NO,1.0,YES,0.471,CLEAN,0.672,2,,,,,,,,,
aPyIiOyPy7Y,https://www.youtube.com/watch?v=aPyIiOyPy7Y,FOLLOW UP DOCTOR'S APPOINTMENT | COLLEGE DECISION FROM HER TOP SCHOOL | Family 5 Vlogs,family5vlogs,11832,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.331,NO,1.0,YES,0.445,CLEAN,0.62,2,,,,,,,,,
YDzXo8XTuL8,https://www.youtube.com/watch?v=YDzXo8XTuL8,Is Mom a Toy Spy?,tictactoy,16226946,random,0.982,YES,0.707,YES,0.868,YES,0.268,NO,0.501,YES,0.374,NO,0.617,EXPLOITATIVE,0.472,4,,,,,,,,,
-NndVU3Dh54,https://www.youtube.com/watch?v=-NndVU3Dh54,Top That! Challenge,thatyoutub3family,42586,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.713,EXPLOITATIVE,0.623,4,,,,,,,,,
SXcnCHjq9xA,https://www.youtube.com/watch?v=SXcnCHjq9xA,WHO CAN BUY BEST BACK TO SCHOOL OUTFIT Challenge? | Family Fizz,familyfizz,154297,high_conf_exploit,1.0,YES,0.765,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.374,NO,0.773,EXPLOITATIVE,0.63,4,,,,,,,,,
nN4wqs6vpjc,https://www.youtube.com/watch?v=nN4wqs6vpjc,"HER LONGEST ""YEAH BOY"" EVER!! - Road Trip Craziness",ehbee,664491,high_conf_clean,0.0,NO,0.887,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.472,CLEAN,0.647,2,,,,,,,,,
DpFWFE2KoaY,https://www.youtube.com/watch?v=DpFWFE2KoaY,You just gotta OM NOM NOM | Slime Rancher #5,ethangamer,1186103,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,,,,,,,,
vdIfzT8GVnE,https://www.youtube.com/watch?v=vdIfzT8GVnE,TURKEY DANCE family song!! Adley & Niko visit Doctor Dad for STiCKER POX and TURKEY FEET Music Video,aforadley,24918267,low_confidence,0.623,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.999,YES,0.676,EXPLOITATIVE,0.352,3,,,,,,,,,
LWPhM08RKVI,https://www.youtube.com/watch?v=LWPhM08RKVI,CHRISTMAS EVE 2018 | THE LEROYS,theleray,540143,random,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.369,CLEAN,0.44,2,,,,,,,,,
8Xcvd51SJz4,https://www.youtube.com/watch?v=8Xcvd51SJz4,Snow White and the Seven Dwarfs! Babyteeth4 Mini Movie,jillianandaddie,1541172,random,0.998,YES,0.707,YES,0.868,YES,0.268,NO,0.501,YES,0.374,NO,0.619,EXPLOITATIVE,0.477,4,,,,,,,,,
FiOLAZs2kZs,https://www.youtube.com/watch?v=FiOLAZs2kZs,Who Knows Mom Best?,theadventurers,33866,low_confidence,0.998,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.431,2,,,,,,,,,
BKWchMy80sY,https://www.youtube.com/watch?v=BKWchMy80sY,summer life hack🌞👙🍓,piersonwodzynski,687699,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.357,CLEAN,0.619,1,,,,,,,,,
lECssAdDO28,https://www.youtube.com/watch?v=lECssAdDO28,PIPER ROCKELLE vs ELLIANA WALMSLEY Viral TikTok Challenge,jordanmatter,7296930,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,1.0,YES,0.67,YES,0.374,NO,0.792,EXPLOITATIVE,0.668,5,,,,,,,,,
wPD3Vhadm_U,https://www.youtube.com/watch?v=wPD3Vhadm_U,FIX THIS 200 POUND FLUFFY SLIME CHALLENGE,lifewithbrothers,184833,high_conf_exploit,1.0,YES,0.887,YES,0.868,YES,1.0,YES,0.67,YES,0.374,NO,0.8,EXPLOITATIVE,0.684,5,,,,,,,,,
bOZEhP9uxew,https://www.youtube.com/watch?v=bOZEhP9uxew,Come Play With Us! What Is In The Cauldron? The DollMaker S4 E11,theadventurers,116554,random,0.981,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.5,ABSTAIN,0.731,EXPLOITATIVE,0.575,4,,,,,,,,,
88VfcL1-1fE,https://www.youtube.com/watch?v=88VfcL1-1fE,Halloween Costumes at the Spirit Halloween store!,ballingerfamily,62947,low_confidence,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.5,ABSTAIN,0.566,EXPLOITATIVE,0.2,1,,,,,,,,,
rpkt4umE4SY,https://www.youtube.com/watch?v=rpkt4umE4SY,Sharing a room with your sibling be like 🤣 #shorts,theweisslife,78618,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.296,CLEAN,0.407,0,,,,,,,,,
6VGvHSj0ne4,https://www.youtube.com/watch?v=6VGvHSj0ne4,Things That Happen on a Roadtrip! | Brent Rivera,brentrivera,5930597,random,0.953,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.876,YES,0.374,NO,0.613,EXPLOITATIVE,0.464,3,,,,,,,,,
jbKIAO2tlfA,https://www.youtube.com/watch?v=jbKIAO2tlfA,"ANYTHING KINDI KIDS CAN CARRY, WE'LL PAY FOR CHALLENGE!",everleighrose,283824,random,1.0,YES,0.887,YES,0.5,ABSTAIN,1.0,YES,0.894,YES,0.374,NO,0.776,EXPLOITATIVE,0.635,4,,,,,,,,,
HArOu3f7YoY,https://www.youtube.com/watch?v=HArOu3f7YoY,Dad needs a brain scan… | Family Fizz,familyfizz,102858,random,0.0,NO,0.707,YES,0.5,ABSTAIN,0.268,NO,1.0,YES,0.374,NO,0.475,CLEAN,0.522,2,,,,,,,,,
KPJ6dU9QP8g,https://www.youtube.com/watch?v=KPJ6dU9QP8g,Our FAVORITE Halloween Costumes!🧡 #shorts,theweisslife,124864,low_confidence,0.953,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.455,CLEAN,0.392,1,,,,,,,,,
VNkbDlQikAc,https://www.youtube.com/watch?v=VNkbDlQikAc,Colder than We Expected! Summer Family Friendly Hikes!,bonniehoellein,43091,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
VyVqilwCLFk,https://www.youtube.com/watch?v=VyVqilwCLFk,"Last To Leave CHEETAHS Wins $20,000 - Challenge 🐆🚫| Piper Rockelle",piperrockelle,5536681,high_conf_exploit,0.999,YES,0.707,YES,0.868,YES,1.0,YES,0.945,YES,0.374,NO,0.815,EXPLOITATIVE,0.715,5,,,,,,,,,
7j-EGfmFJPU,https://www.youtube.com/watch?v=7j-EGfmFJPU,opening up about something that happened in my childhood...,thebramfam,211601,high_conf_exploit,0.0,NO,0.707,YES,0.868,YES,0.268,NO,0.776,YES,0.999,YES,0.603,EXPLOITATIVE,0.694,4,,,,,,,,,
7iomFX5-w7o,https://www.youtube.com/watch?v=7iomFX5-w7o,17 WEEKS PREGNANT! *bump update* | Family Fizz,familyfizz,162452,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
rYz2zLms52g,https://www.youtube.com/watch?v=rYz2zLms52g,Ignoring Shae for 24 Hours || Wyatt's Revenge,ohanaboys,692938,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,1.0,YES,0.331,NO,0.374,NO,0.735,EXPLOITATIVE,0.667,4,,,,,,,,,
WxsluCg-lSs,https://www.youtube.com/watch?v=WxsluCg-lSs,Spring Break Thrift Clothing Try On Haul,jacyandkacy,78025,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
K83XvpEYrms,https://www.youtube.com/watch?v=K83XvpEYrms,Shopping Brandy Melville Style Online at home | TRY ON HAUL,annierose,118493,random,0.009,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.5,ABSTAIN,0.502,EXPLOITATIVE,0.33,1,,,,,,,,,
SRnCrj8XVz8,https://www.youtube.com/watch?v=SRnCrj8XVz8,The ZippySack Zippered Blanket (it's awesome),familyfunpack,6418689,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
rqXuXKFRWOc,https://www.youtube.com/watch?v=rqXuXKFRWOc,6 Things Girls Do That Guys Love | Brent Rivera,brentrivera,16216127,low_confidence,0.953,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.522,EXPLOITATIVE,0.396,2,,,,,,,,,
bqu0YjdSJNw,https://www.youtube.com/watch?v=bqu0YjdSJNw,Olympics!! Who Wins The Gold?!,ohanaboys,279682,high_conf_exploit,0.998,YES,0.78,YES,0.868,YES,1.0,YES,1.0,YES,0.374,NO,0.836,EXPLOITATIVE,0.757,5,,,,,,,,,
NbCdQUbbga4,https://www.youtube.com/watch?v=NbCdQUbbga4,Chris and Mom learn to cook pizza,vladandniki,211521740,low_confidence,0.751,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.45,CLEAN,0.268,2,,,,,,,,,
yABIf2a9UnQ,https://www.youtube.com/watch?v=yABIf2a9UnQ,"Notre Dame Game & Costco Trip, Nails, New Plants!",ourfamilynest,7233,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
AohEa3pS4ic,https://www.youtube.com/watch?v=AohEa3pS4ic,Severe ALERT ⚠️ starting meds &  a DRASTIC change....,jesssfam,92709,high_conf_exploit,0.953,YES,1.0,YES,0.868,YES,0.268,NO,0.331,NO,1.0,YES,0.737,EXPLOITATIVE,0.741,4,,,,,,,,,
O0aOnPBxUrk,https://www.youtube.com/watch?v=O0aOnPBxUrk,Heading back to the EMERGENCY ROOM...,jesssfam,128367,high_conf_exploit,0.0,NO,1.0,YES,0.868,YES,0.268,NO,0.875,YES,1.0,YES,0.668,EXPLOITATIVE,0.825,4,,,,,,,,,
1-jznswL9ps,https://www.youtube.com/watch?v=1-jznswL9ps,We Surprised Our Parents With Embarrassing Homecoming Posters,brockandboston,73478,high_conf_exploit,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,1.0,YES,0.595,EXPLOITATIVE,0.809,3,,,,,,,,,
FMBwW4AAzHE,https://www.youtube.com/watch?v=FMBwW4AAzHE,EVERLEIGH SURPRISES AVA AT VIDCON... (YOU WON'T BELIEVE IT!),everleighrose,98187,random,0.953,YES,1.0,YES,0.548,YES,0.268,NO,0.331,NO,0.5,ABSTAIN,0.6,EXPLOITATIVE,0.467,3,,,,,,,,,
7E24i8Gr95w,https://www.youtube.com/watch?v=7E24i8Gr95w,Ava & Everleigh Sleepover Party I PartyWithThePonies,everleighrose,399449,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
A1n0-1QRnhA,https://www.youtube.com/watch?v=A1n0-1QRnhA,HE BROKE IT 😭😭,meetthemillers,11445,high_conf_exploit,0.0,NO,1.0,YES,0.868,YES,0.268,NO,0.331,NO,0.999,YES,0.578,EXPLOITATIVE,0.756,3,,,,,,,,,
j4tm-_eIDlI,https://www.youtube.com/watch?v=j4tm-_eIDlI,Recreate This Slime! Ty's Slime!,theadventurers,54925,low_confidence,0.981,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.46,CLEAN,0.401,1,,,,,,,,,
UrgIx2sVEkw,https://www.youtube.com/watch?v=UrgIx2sVEkw,Knock Knock did this while we were sleeping..,tydustalbott,10155968,high_conf_exploit,0.953,YES,0.707,YES,0.868,YES,0.268,NO,0.67,YES,1.0,YES,0.744,EXPLOITATIVE,0.643,5,,,,,,,,,
Qc9yiDQmTsI,https://www.youtube.com/watch?v=Qc9yiDQmTsI,I DROPPED THE BABY... *SORRY CATHERINE*,acefamily,5083635,low_confidence,0.623,YES,1.0,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.604,EXPLOITATIVE,0.208,2,,,,,,,,,
Fz-jOFky18Y,https://www.youtube.com/watch?v=Fz-jOFky18Y,Elf on the Shelf Controls my Day! | Elf On The Shelf Left a MESSAGE!,tannerites,22035636,low_confidence,0.953,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.455,CLEAN,0.392,1,,,,,,,,,
BVOg7ElJXYo,https://www.youtube.com/watch?v=BVOg7ElJXYo,PaisLee & Kade Spin the Bottle! *shocking*,funsquadfamily,460526,high_conf_exploit,0.981,YES,1.0,YES,0.868,YES,1.0,YES,0.876,YES,0.374,NO,0.85,EXPLOITATIVE,0.783,5,,,,,,,,,
k20pewwadmU,https://www.youtube.com/watch?v=k20pewwadmU,Hiking Out Of Here! Winter Survival Challenge,thatyoutub3family,21874,low_confidence,0.998,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.431,2,,,,,,,,,
M9ats7uvyy0,https://www.youtube.com/watch?v=M9ats7uvyy0,Last Day With My Brother for 18 months... | Becoming A Missionary,brockandboston,66719,low_confidence,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.302,CLEAN,0.396,0,,,,,,,,,
fKEW8MyF4nQ,https://www.youtube.com/watch?v=fKEW8MyF4nQ,This only happens once a year |  The LeRoys,theleray,147372,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
QsByEnmBqoE,https://www.youtube.com/watch?v=QsByEnmBqoE,Getting large Family ready for CHURCH in our HOTEL room!,ohanaadventure,132997,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
NLXPtIWNEG0,https://www.youtube.com/watch?v=NLXPtIWNEG0,Nastya Hepls Dad Escape the Maze,likenastya,13253330,high_conf_exploit,0.998,YES,0.707,YES,0.868,YES,1.0,YES,0.876,YES,0.374,NO,0.804,EXPLOITATIVE,0.691,5,,,,,,,,,
plzr5TsdUvs,https://www.youtube.com/watch?v=plzr5TsdUvs,Picking my first Loomian in Roblox Loomian Legacy!!,ethangamer,597423,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,,,,,,,,
1WVQL1fbKh4,https://www.youtube.com/watch?v=1WVQL1fbKh4,Elf on the Shelf Pranks Our Dad for 24 Hours!!!,trinityandbeyond,4720229,high_conf_exploit,1.0,YES,0.895,YES,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.857,EXPLOITATIVE,0.799,5,,,,,,,,,
zqaCWKQ2cUI,https://www.youtube.com/watch?v=zqaCWKQ2cUI,Trying Candy From Our Childhood!,theadventurers,42848,low_confidence,0.883,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.472,CLEAN,0.312,1,,,,,,,,,
pyg_aSn-gtE,https://www.youtube.com/watch?v=pyg_aSn-gtE,Our Amazon Prime deals arrived!! - @itsJudysLife,itsjudyslife,92145,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
3FZUFbE5V0c,https://www.youtube.com/watch?v=3FZUFbE5V0c,My SON Graduated from COLLEGE at 17! *emotional*,shotofyeagers,1966729,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.876,YES,0.374,NO,0.47,CLEAN,0.643,2,,,,,,,,,
jkHs1oQ3_qI,https://www.youtube.com/watch?v=jkHs1oQ3_qI,SHE WAS NOT READY FOR THIS!,thedashleys,32113,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.776,YES,0.374,NO,0.454,CLEAN,0.61,2,,,,,,,,,
BRfFd-6U2T4,https://www.youtube.com/watch?v=BRfFd-6U2T4,Who Has The BEST Night Time Routine?,theadventurers,63312,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
UQM1k57rO3M,https://www.youtube.com/watch?v=UQM1k57rO3M,Jumping Into IMPOSSIBLE Shapes Challenge With Punishments!,ohanaboys,57020,random,1.0,YES,0.707,YES,0.868,YES,1.0,YES,1.0,YES,0.374,NO,0.825,EXPLOITATIVE,0.733,5,,,,,,,,,
JQZLV4qJ0yo,https://www.youtube.com/watch?v=JQZLV4qJ0yo,HE'S FINALLY HERE...EVERYONE MEET OUR BABY BOY!!!,acefamily,11390776,low_confidence,0.623,YES,1.0,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.604,EXPLOITATIVE,0.208,2,,,,,,,,,
gHQt1gzVVBQ,https://www.youtube.com/watch?v=gHQt1gzVVBQ,😷It finally CAME OUT!!!🎉,jhousevlogs,4336706,high_conf_clean,0.0,NO,0.78,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.447,CLEAN,0.625,2,,,,,,,,,
KFxTKZGELHA,https://www.youtube.com/watch?v=KFxTKZGELHA,Instagram Followers CONTROL our Life for a Day! 😭,royaltyfamily,7818400,high_conf_exploit,0.998,YES,1.0,YES,0.868,YES,1.0,YES,0.501,YES,0.5,ABSTAIN,0.811,EXPLOITATIVE,0.622,5,,,,,,,,,
UcGrnLDfs4E,https://www.youtube.com/watch?v=UcGrnLDfs4E,Annie Annie Over Game,thatyoutub3family,119245,random,0.985,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.615,EXPLOITATIVE,0.427,2,,,,,,,,,
ZnvlPSoMrYU,https://www.youtube.com/watch?v=ZnvlPSoMrYU,TODDLER jokeSTER!,dailybumps,470533,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.997,YES,0.356,CLEAN,0.618,1,,,,,,,,,
YNeKQhPIpt8,https://www.youtube.com/watch?v=YNeKQhPIpt8,KiDS Leprechaun TRAP!!  Adley & Niko make a St Patrick’s Day hidden gold slide box! family DIY craft,aforadley,16137839,low_confidence,0.623,YES,0.78,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.64,EXPLOITATIVE,0.279,3,,,,,,,,,
JQAeR9ahWLA,https://www.youtube.com/watch?v=JQAeR9ahWLA,OPENING DAY 9 of our ADVENT CALENDARS!🎄#shorts #christmas,theweisslife,298733,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
oAeSq_Lq_QU,https://www.youtube.com/watch?v=oAeSq_Lq_QU,Best of Bratayley (WK 15),hayleyleblanc,34814,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.296,CLEAN,0.407,0,,,,,,,,,
_PQrpWyc4qA,https://www.youtube.com/watch?v=_PQrpWyc4qA,"15 hr flight later, we made it to Singapore! - @itsJudysLife",itsjudyslife,87054,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
nZBlZgNADzI,https://www.youtube.com/watch?v=nZBlZgNADzI,Sick for my Birthday,bonniehoellein,543051,low_confidence,0.398,NO,1.0,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.999,YES,0.649,EXPLOITATIVE,0.367,2,,,,,,,,,
NvJ2YFESUt4,https://www.youtube.com/watch?v=NvJ2YFESUt4,Coming Home After 2 Years... I Got Surprised,brockandboston,119764,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
w_E6NEjuQbo,https://www.youtube.com/watch?v=w_E6NEjuQbo,Surprising Audrey and Spencer!,theadventurers,178689,low_confidence,0.981,YES,0.707,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.331,NO,0.374,NO,0.565,EXPLOITATIVE,0.327,2,,,,,,,,,
DnNPQtsnXU0,https://www.youtube.com/watch?v=DnNPQtsnXU0,Jason wants to be a good brother for Alex,jasonvlogs,4340293,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.296,CLEAN,0.407,0,,,,,,,,,
n-I07SSfyjA,https://www.youtube.com/watch?v=n-I07SSfyjA,Jason Shows How to Be Respectful and Smart in School,jasonvlogs,3693417,random,0.953,YES,0.707,YES,0.868,YES,0.268,NO,0.331,NO,0.374,NO,0.583,EXPLOITATIVE,0.518,3,,,,,,,,,
gLdh0nwRyRo,https://www.youtube.com/watch?v=gLdh0nwRyRo,24 HOURS WITH OUR NEW PUPPY!!,smellybellytv,223031,random,0.0,NO,0.765,YES,0.305,NO,1.0,YES,0.331,NO,0.374,NO,0.462,CLEAN,0.585,2,,,,,,,,,
Ygy11SPq9N8,https://www.youtube.com/watch?v=Ygy11SPq9N8,If Spider-Man was MEXICAN,crazygorilla,210657,random,0.953,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.455,CLEAN,0.392,1,,,,,,,,,
qS0QTTUCGJg,https://www.youtube.com/watch?v=qS0QTTUCGJg,Preston Starts a Fire and Gets Arrested!!!,trinityandbeyond,2308209,high_conf_exploit,0.981,YES,1.0,YES,1.0,YES,0.268,NO,0.67,YES,0.5,ABSTAIN,0.736,EXPLOITATIVE,0.628,4,,,,,,,,,
e2M_xj5JDQg,https://www.youtube.com/watch?v=e2M_xj5JDQg,GETTING EMOTIONAL ABOUT THE NEW HOUSE!,thesacconejolys,353314,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
