video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,Human Labeled,Note
tbQjQ2t5jFE,https://www.youtube.com/watch?v=tbQjQ2t5jFE,Deep Cleaning & Decluttering our Bedroom + Costco Grocery Shopping Haul,ourfamilynest,8175,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.998,YES,0.468,CLEAN,0.729,2,,
DpFWFE2KoaY,https://www.youtube.com/watch?v=DpFWFE2KoaY,You just gotta OM NOM NOM | Slime Rancher #5,ethangamer,1186103,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,
x1QY5I2vx30,https://www.youtube.com/watch?v=x1QY5I2vx30,THEY WALKED IN?,ehbee,4485615,high_conf_exploit,0.953,YES,1.0,YES,1.0,YES,0.268,NO,0.999,YES,0.374,NO,0.766,EXPLOITATIVE,0.77,4,,
BT3GJDehxxk,https://www.youtube.com/watch?v=BT3GJDehxxk,😲NEW CAST!!!,jhousevlogs,1708276,low_confidence,0.751,YES,0.78,YES,0.5,ABSTAIN,0.268,NO,1.0,YES,0.5,ABSTAIN,0.633,EXPLOITATIVE,0.421,3,,
qVA0yTyG89s,https://www.youtube.com/watch?v=qVA0yTyG89s,GI DOCTOR APPOINTMENT & WHAT'S IN MY PURSE?,ourfamilynest,10256,high_conf_exploit,0.0,NO,0.504,YES,0.305,NO,0.268,NO,1.0,YES,1.0,YES,0.513,EXPLOITATIVE,0.644,3,,
GbI4n9q6URU,https://www.youtube.com/watch?v=GbI4n9q6URU,WE LOST MAYA and WE CAN'T FIND HER !!!,tictactoy,3011090,high_conf_exploit,0.981,YES,1.0,YES,0.868,YES,0.268,NO,1.0,YES,0.374,NO,0.748,EXPLOITATIVE,0.735,4,,
KG8zTBfPPRM,https://www.youtube.com/watch?v=KG8zTBfPPRM,SNEAKING OUT to HIDE his Graduation TRIP!!,ohanaadventure,167570,random,0.982,YES,0.887,YES,1.0,YES,0.268,NO,0.876,YES,0.374,NO,0.731,EXPLOITATIVE,0.701,4,,
cYq9EhcJJjU,https://www.youtube.com/watch?v=cYq9EhcJJjU,CHRISTMAS Lunch MARATHON 🎄 Bunches Of Lunches,familyfudge,645738,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.999,YES,0.894,YES,0.374,NO,0.468,CLEAN,0.659,2,,
jDVezjlI6NM,https://www.youtube.com/watch?v=jDVezjlI6NM,"HUGE SPRING TRY ON CLOTHING HAUL- Amazon, Walmart, TJMaxx, & Thrifting Haul",jacyandkacy,52003,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
JQAeR9ahWLA,https://www.youtube.com/watch?v=JQAeR9ahWLA,OPENING DAY 9 of our ADVENT CALENDARS!🎄#shorts #christmas,theweisslife,298733,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
-uTPGWzO5dk,https://www.youtube.com/watch?v=-uTPGWzO5dk,"✨Kid's Choice Awards 2024✨ Makeovers, Celebs, & Exclusive Parties",ballingerfamily,131858,random,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.483,CLEAN,0.034,0,,
-bjKKX02Wyo,https://www.youtube.com/watch?v=-bjKKX02Wyo,I Lost My Memory!,theskorys,37348,high_conf_exploit,0.953,YES,1.0,YES,0.868,YES,0.268,NO,0.331,NO,1.0,YES,0.737,EXPLOITATIVE,0.741,4,,
w9gVblmdfsI,https://www.youtube.com/watch?v=w9gVblmdfsI,Eating Spicy Vs Sour Food - EXTREME Challenge,lifewithbrothers,50445,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,1.0,YES,0.894,YES,0.374,NO,0.829,EXPLOITATIVE,0.742,5,,
MW_0wMlujW0,https://www.youtube.com/watch?v=MW_0wMlujW0,ROBLOX EGG HUNT 2017!!!,ethangamer,920928,high_conf_clean,0.0,NO,0.92,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.478,CLEAN,0.657,2,,
gSW2l1z1lKw,https://www.youtube.com/watch?v=gSW2l1z1lKw,THIS WASN'T SUPPOSED TO HAPPEN!! DIY FIREWORKS SHOW,thesacconejolys,134253,low_confidence,0.751,YES,0.887,YES,0.868,YES,0.268,NO,0.501,YES,0.5,ABSTAIN,0.629,EXPLOITATIVE,0.413,4,,
CuYMeiugu_A,https://www.youtube.com/watch?v=CuYMeiugu_A,PACKING FOR NEW YORK ✈️,annierose,240089,low_confidence,0.398,NO,0.765,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.67,YES,0.5,ABSTAIN,0.556,EXPLOITATIVE,0.179,2,,
pAb6S6Ybask,https://www.youtube.com/watch?v=pAb6S6Ybask,I GOT YOLKED! 🥚 🔫 | Shellshock.io,ethangamer,750209,random,0.953,YES,0.5,ABSTAIN,0.868,YES,0.268,NO,0.331,NO,0.374,NO,0.549,EXPLOITATIVE,0.449,2,,
NNv5moulJx0,https://www.youtube.com/watch?v=NNv5moulJx0,SCARY Lightning STORM While CAMPiNG!,shotofyeagers,421991,random,0.0,NO,0.707,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.363,CLEAN,0.411,1,,
G0bQV758Kn4,https://www.youtube.com/watch?v=G0bQV758Kn4,EVERYBODY WANTS TO RULE THE WORLD - Roberto Burgos,ehbee,321625,low_confidence,0.0,NO,0.504,YES,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.297,CLEAN,0.409,1,,
uZLBYAEEMmw,https://www.youtube.com/watch?v=uZLBYAEEMmw,FAMILY FUN PLAYING AT CHUCK E CHEESE AND HUGE SURPRISE PRIZE HAUL!,theweisslife,2799687,high_conf_clean,0.094,NO,0.887,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.488,CLEAN,0.615,2,,
gmlJkYYjeqo,https://www.youtube.com/watch?v=gmlJkYYjeqo,FIRST to fall into the river loses!! DAD VS DAUGHTER!!,smellybellytv,18984,high_conf_exploit,0.999,YES,0.895,YES,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.857,EXPLOITATIVE,0.799,5,,
e5NJc1ue-zQ,https://www.youtube.com/watch?v=e5NJc1ue-zQ,"Bad Elf on a Shelf filled our room with presents Christmas Prank! Opening up 1,000 Mystery Boxes!",theskorys,771092,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,0.268,NO,0.992,YES,0.374,NO,0.723,EXPLOITATIVE,0.685,4,,
pG8FPQqWfDo,https://www.youtube.com/watch?v=pG8FPQqWfDo,Niki pretend play selling Ice Cream,vladandniki,156697372,random,0.982,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.501,YES,0.374,NO,0.555,EXPLOITATIVE,0.349,3,,
vPZI6W58b8s,https://www.youtube.com/watch?v=vPZI6W58b8s,Trying Foods We Don't Like!,thatyoutub3family,66715,low_confidence,0.998,YES,0.707,YES,0.305,NO,0.5,ABSTAIN,0.331,NO,0.374,NO,0.536,EXPLOITATIVE,0.398,2,,
5EEE9QLtJvs,https://www.youtube.com/watch?v=5EEE9QLtJvs,Recreating Hersheys Milkshakes and Smores At Home,thatyoutub3family,56203,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.325,CLEAN,0.351,0,,
2zh3qGiM1vo,https://www.youtube.com/watch?v=2zh3qGiM1vo,Drawing Names For Christmas. We Did Something Different This year |  The LeRoys,theleray,110881,random,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.408,CLEAN,0.518,1,,
eq6V9TPA8y4,https://www.youtube.com/watch?v=eq6V9TPA8y4,BEST VINES OF JULY - Eh Bee Family,ehbee,4452611,random,0.891,YES,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.401,CLEAN,0.458,1,,
83zyyHjQwRk,https://www.youtube.com/watch?v=83zyyHjQwRk,Escape the Giant Lego Maze Guinea Pig Race! Disqualified for Poo!!!,trinityandbeyond,8198721,random,1.0,YES,0.895,YES,0.868,YES,1.0,YES,0.501,YES,0.5,ABSTAIN,0.794,EXPLOITATIVE,0.588,5,,
k20pewwadmU,https://www.youtube.com/watch?v=k20pewwadmU,Hiking Out Of Here! Winter Survival Challenge,thatyoutub3family,21874,low_confidence,0.998,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.431,2,,
pvoEWQFFjPw,https://www.youtube.com/watch?v=pvoEWQFFjPw,Getting Tested for Covid!!!,lifewithbrothers,366279,high_conf_clean,0.001,NO,0.78,YES,0.305,NO,0.268,NO,0.331,NO,1.0,YES,0.447,CLEAN,0.625,2,,
yucryh6S9l8,https://www.youtube.com/watch?v=yucryh6S9l8,"$1 vs $13,000,000 Video Game Screens!",ninjakidztv,5346271,high_conf_exploit,0.998,YES,0.707,YES,0.999,YES,1.0,YES,1.0,YES,0.374,NO,0.846,EXPLOITATIVE,0.776,5,,
WGBEbev3bL8,https://www.youtube.com/watch?v=WGBEbev3bL8,BACK TO SCHOOL HAUL/GIVEAWAY (Target vs Walmart) | Piper Rockelle,piperrockelle,7011427,high_conf_exploit,0.716,YES,0.707,YES,1.0,YES,0.999,YES,1.0,YES,0.374,NO,0.799,EXPLOITATIVE,0.682,5,,
ZnvlPSoMrYU,https://www.youtube.com/watch?v=ZnvlPSoMrYU,TODDLER jokeSTER!,dailybumps,470533,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.997,YES,0.356,CLEAN,0.618,1,,
VntI-HfKRsw,https://www.youtube.com/watch?v=VntI-HfKRsw,Last To Leave The Mystery Box Challenge Wins!,thatyoutub3family,38724,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.776,YES,0.374,NO,0.787,EXPLOITATIVE,0.659,5,,
dvgkIJa5GKI,https://www.youtube.com/watch?v=dvgkIJa5GKI,We Stumbled Upon A Secret Park!,kkandbabyj,141238,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.998,YES,0.357,CLEAN,0.619,1,,
Y0C7xLMlHcE,https://www.youtube.com/watch?v=Y0C7xLMlHcE,WHAT DID YOU DO!?,familyfunpack,147893,random,0.0,NO,0.765,YES,0.5,ABSTAIN,0.268,NO,0.5,ABSTAIN,0.374,NO,0.401,CLEAN,0.374,1,,
3FZUFbE5V0c,https://www.youtube.com/watch?v=3FZUFbE5V0c,My SON Graduated from COLLEGE at 17! *emotional*,shotofyeagers,1966729,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.876,YES,0.374,NO,0.47,CLEAN,0.643,2,,
AGsgQ6ACYEw,https://www.youtube.com/watch?v=AGsgQ6ACYEw,Swimming Pool Challenges!,thatyoutub3family,49077,low_confidence,1.0,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.432,2,,
f5FiXWLsyG8,https://www.youtube.com/watch?v=f5FiXWLsyG8,SHOPPING FOR THEIR DRESS *Worst Nightmare!,brockandboston,162772,high_conf_exploit,0.0,NO,1.0,YES,0.868,YES,0.268,NO,0.999,YES,0.374,NO,0.585,EXPLOITATIVE,0.742,3,,
f3AOc4fLoiA,https://www.youtube.com/watch?v=f3AOc4fLoiA,BABY SINGING VLOGGER!,thesacconejolys,306721,low_confidence,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.501,YES,0.5,ABSTAIN,0.39,CLEAN,0.398,2,,
EO47tChpE1E,https://www.youtube.com/watch?v=EO47tChpE1E,Surprised My Daughter With Her Dream Room Makeover! 🩷,dailybumps,43340,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.473,CLEAN,0.649,2,,
DxHw4UdDJDY,https://www.youtube.com/watch?v=DxHw4UdDJDY,I Built a Secret Room in the MALL! Ft/ Ben Azelart,royaltyfamily,39382625,high_conf_exploit,0.981,YES,0.707,YES,0.868,YES,1.0,YES,0.945,YES,0.998,YES,0.916,EXPLOITATIVE,0.833,6,,
G0vCWsw8Bk4,https://www.youtube.com/watch?v=G0vCWsw8Bk4,Pizza Tower 2D vs 3D vs Roblox! (FGTeeV Peppino's Mach 3 Speed),fgteev,952552,high_conf_exploit,0.995,YES,0.707,YES,0.999,YES,0.997,YES,0.894,YES,0.374,NO,0.828,EXPLOITATIVE,0.739,5,,
JBvyT3icNBw,https://www.youtube.com/watch?v=JBvyT3icNBw,The DollMakers Apprentices Vs Abigail! The DollMaker Season 5 Episode 6,theadventurers,104959,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,0.997,YES,0.331,NO,0.374,NO,0.735,EXPLOITATIVE,0.666,4,,
zhmsqzYnYcY,https://www.youtube.com/watch?v=zhmsqzYnYcY,Fall Decor And Treats!,theadventurers,32854,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.281,CLEAN,0.438,0,,
WhtYFqxjGl0,https://www.youtube.com/watch?v=WhtYFqxjGl0,HUGE HOME DELIVERY!,kkandbabyj,237153,high_conf_clean,0.0,NO,0.887,YES,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.455,CLEAN,0.611,2,,
zKyTBZ5cfNU,https://www.youtube.com/watch?v=zKyTBZ5cfNU,She started a FIRE! Time for A FIRE DRILL!!,ohanaadventure,374243,high_conf_exploit,0.953,YES,0.895,YES,0.868,YES,0.268,NO,0.945,YES,0.374,NO,0.717,EXPLOITATIVE,0.673,4,,
j4tm-_eIDlI,https://www.youtube.com/watch?v=j4tm-_eIDlI,Recreate This Slime! Ty's Slime!,thatyoutub3family,54922,low_confidence,0.981,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.46,CLEAN,0.401,1,,
0iYj5_fqxGI,https://www.youtube.com/watch?v=0iYj5_fqxGI,FIRE ALARM AT OUR HOTEL...BIRTHDAY GONE WRONG!!,smellybellytv,509153,high_conf_exploit,0.953,YES,1.0,YES,1.0,YES,0.268,NO,0.331,NO,0.5,ABSTAIN,0.675,EXPLOITATIVE,0.618,3,,
KHovLrygPFI,https://www.youtube.com/watch?v=KHovLrygPFI,Trying Starbucks Holiday Drinks & Treats *NEW* 2021!,ballingerfamily,131983,low_confidence,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.483,CLEAN,0.034,0,,
5EEE9QLtJvs,https://www.youtube.com/watch?v=5EEE9QLtJvs,Recreating Hersheys Milkshakes and Smores At Home,thatyoutub3family,56203,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.325,CLEAN,0.351,0,,
haq8SZ6abaI,https://www.youtube.com/watch?v=haq8SZ6abaI,DOG POO ACCIDENT! | Family Fizz,familyfizz,192193,high_conf_exploit,0.981,YES,1.0,YES,0.868,YES,0.268,NO,1.0,YES,0.5,ABSTAIN,0.769,EXPLOITATIVE,0.693,4,,
5EEE9QLtJvs,https://www.youtube.com/watch?v=5EEE9QLtJvs,Recreating Hersheys Milkshakes and Smores At Home,thatyoutub3family,56203,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.325,CLEAN,0.351,0,,
tJJ-r6UdScU,https://www.youtube.com/watch?v=tJJ-r6UdScU,"Sardines, Hide And Seek, Infection Tag! @Shot of The Yeagers",theadventurers,53036,low_confidence,0.005,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.297,CLEAN,0.406,0,,
dJeOOD0Q4GU,https://www.youtube.com/watch?v=dJeOOD0Q4GU,WHAT IF YOU GOT A SECRET HOLIDAY SLIME KIT?!🎁🎄 | We Are The Davises,wearethedavises,313960,random,0.981,YES,0.887,YES,0.305,NO,0.5,ABSTAIN,1.0,YES,0.998,YES,0.778,EXPLOITATIVE,0.687,4,,
ypojm5XfO1c,https://www.youtube.com/watch?v=ypojm5XfO1c,boring video.mp4,sawyersharbino,1873,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.997,YES,0.356,CLEAN,0.618,1,,
WHjAb9UFED0,https://www.youtube.com/watch?v=WHjAb9UFED0,FIRST day of PUBLIC SCHOOL! HighSchool vs Middle school ROUTINE!,ohanaadventure,239619,high_conf_exploit,0.964,YES,0.707,YES,0.999,YES,0.997,YES,0.331,NO,0.374,NO,0.729,EXPLOITATIVE,0.654,4,,
PgmwYSHWU_o,https://www.youtube.com/watch?v=PgmwYSHWU_o,Fathers Day Makeover by Babyteeth4,jillianandaddie,322308,low_confidence,0.953,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.484,CLEAN,0.336,2,,
znX2qx1cj74,https://www.youtube.com/watch?v=znX2qx1cj74,Betting On Mystery Food Boxes! Food Challenge!,theadventurers,230888,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.67,YES,0.374,NO,0.77,EXPLOITATIVE,0.624,5,,
AKp_u0N8wf4,https://www.youtube.com/watch?v=AKp_u0N8wf4,ADLEY helps BARBiE plan a Dream House Party using CARTOON MAGiC!! Learning to surprise new friends!,aforadley,7467787,low_confidence,0.398,NO,0.78,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.602,EXPLOITATIVE,0.272,2,,
nN4wqs6vpjc,https://www.youtube.com/watch?v=nN4wqs6vpjc,"HER LONGEST ""YEAH BOY"" EVER!! - Road Trip Craziness",ehbee,664491,high_conf_clean,0.0,NO,0.887,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.472,CLEAN,0.647,2,,
nNSVnotzx28,https://www.youtube.com/watch?v=nNSVnotzx28,GABRIELLE GETS HER CAST CUT OFF!,theweisslife,13256666,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.331,NO,1.0,YES,0.445,CLEAN,0.62,2,,
sOz6NfnyNds,https://www.youtube.com/watch?v=sOz6NfnyNds,BABY'S FIRST THUNDERSTORM!,thesacconejolys,560565,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,
diaILkQvKg8,https://www.youtube.com/watch?v=diaILkQvKg8,BREAK THE INTERNET AGAIN! - #DBEJCKSummerVacay,dailybumps,979002,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.331,NO,0.998,YES,0.444,CLEAN,0.62,2,,
lruCKn_B3WE,https://www.youtube.com/watch?v=lruCKn_B3WE,MILAS 4TH BIRTHDAY MORNING!,inghamfamily,81853,random,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.894,YES,0.5,ABSTAIN,0.455,CLEAN,0.529,2,,
WlSdWP8wvZg,https://www.youtube.com/watch?v=WlSdWP8wvZg,Oliver Learns to Help Mom and Plays with a Sweet Machine,kidsdianashow,2870422,low_confidence,0.981,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.488,CLEAN,0.345,1,,
TYeM5OEW45o,https://www.youtube.com/watch?v=TYeM5OEW45o,I'm having my breast implants removed… *explant surgery* | Family Fizz,familyfizz,224621,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,1.0,YES,0.468,CLEAN,0.73,2,,
_OK5cZ7ceeY,https://www.youtube.com/watch?v=_OK5cZ7ceeY,Who is the Best Gymnast Part 2! Sis vs Bros Challenge!,ninjakidztv,69581398,high_conf_exploit,1.0,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.894,YES,0.374,NO,0.795,EXPLOITATIVE,0.673,4,,
1uAfhIDiln4,https://www.youtube.com/watch?v=1uAfhIDiln4,Guess The Drawing! Team Telestrations!,thatyoutub3family,24609,random,0.998,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.713,EXPLOITATIVE,0.622,4,,
3Guc9M8buQ8,https://www.youtube.com/watch?v=3Guc9M8buQ8,Suprising My Brother,brockandboston,65707,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.491,CLEAN,0.684,2,,
5fiBzUhud5g,https://www.youtube.com/watch?v=5fiBzUhud5g,We snuck onto the WATER SLIDES!!,tydustalbott,663314,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.5,ABSTAIN,0.346,CLEAN,0.31,1,,
Kou_5aEGolU,https://www.youtube.com/watch?v=Kou_5aEGolU,THIS NEEDS TO BE FIXED!,kkandbabyj,217612,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,
wTfK_iRHzLM,https://www.youtube.com/watch?v=wTfK_iRHzLM,Texas Sized Everything!,familyfunpack,447174,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.325,CLEAN,0.352,1,,
un0JvdrKkpY,https://www.youtube.com/watch?v=un0JvdrKkpY,20th Birthday | Twins First Time Being Apart On Their BDAY! *I GOT SURPRISED*,brockandboston,46640,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.473,CLEAN,0.649,2,,
-vPBGkface4,https://www.youtube.com/watch?v=-vPBGkface4,Quick everyday makeup tutorial || Hayley LeBlanc,hayleyleblanc,158702,low_confidence,0.953,YES,0.238,NO,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.44,CLEAN,0.423,1,,
eRU68U-dDn8,https://www.youtube.com/watch?v=eRU68U-dDn8,Emotional Birthday Surprise For Logan's 15th Birthday | The LeRoys,theleray,403436,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,
vvk3jPoU-FQ,https://www.youtube.com/watch?v=vvk3jPoU-FQ,Best of Bratayley (WK 29),hayleyleblanc,42255,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.296,CLEAN,0.407,0,,
DQ5biqXetXc,https://www.youtube.com/watch?v=DQ5biqXetXc,The BEST surprise we ever gave the girls..,inghamfamily,33204,low_confidence,0.751,YES,0.707,YES,0.305,NO,0.268,NO,0.331,NO,0.5,ABSTAIN,0.477,CLEAN,0.351,2,,
gv79_nXPR20,https://www.youtube.com/watch?v=gv79_nXPR20,THIS BOOK CAN SEE.,jillianandaddie,3434721,random,0.981,YES,0.887,YES,0.5,ABSTAIN,0.268,NO,0.501,YES,0.374,NO,0.585,EXPLOITATIVE,0.409,3,,
eAPcJycHuow,https://www.youtube.com/watch?v=eAPcJycHuow,TRAPPED INSiDE the iPAD?!  Adley & Dad play a new family game! and beach visit! my town app review,aforadley,50141823,random,0.981,YES,0.78,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.699,EXPLOITATIVE,0.398,3,,
kDRTYq9C05o,https://www.youtube.com/watch?v=kDRTYq9C05o,What's in the Box Challenge Christmas Edition!!!,ryansworld,8472742,random,0.998,YES,0.895,YES,0.868,YES,1.0,YES,0.5,ABSTAIN,0.374,NO,0.772,EXPLOITATIVE,0.629,4,,
CVY64U4051s,https://www.youtube.com/watch?v=CVY64U4051s,We gave VALENTINES to STRANGERS!,ninjakidztv,11100538,high_conf_exploit,0.981,YES,0.707,YES,0.868,YES,1.0,YES,0.894,YES,0.374,NO,0.804,EXPLOITATIVE,0.692,5,,
PPRAv9nlys0,https://www.youtube.com/watch?v=PPRAv9nlys0,NEW HOUSE UPDATE!  THE FIREPLACE is GONE! NEW SHIPLAP WALL & CEILING!,ourfamilynest,11939,high_conf_clean,0.0,NO,0.783,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.455,CLEAN,0.612,2,,
6pWz6zu09MU,https://www.youtube.com/watch?v=6pWz6zu09MU,I BROKE MY ARM!?!?!?,sawyersharbino,29529,high_conf_exploit,0.0,NO,1.0,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.999,YES,0.516,EXPLOITATIVE,0.633,2,,
32iuPYBBLfk,https://www.youtube.com/watch?v=32iuPYBBLfk,Back To School Clothes Shopping At Justice!,theweisslife,225691,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
gsP5kD7-XpQ,https://www.youtube.com/watch?v=gsP5kD7-XpQ,a Birthday Surprise My Dad Will Never Forget! 😭 | The Royalty Family,royaltyfamily,4031545,high_conf_exploit,0.981,YES,1.0,YES,0.305,NO,0.268,NO,0.934,YES,0.374,NO,0.644,EXPLOITATIVE,0.656,3,,
z1f3qdHTxTA,https://www.youtube.com/watch?v=z1f3qdHTxTA,GOING ON 3 BLIND DATES WITH BOOKS,ourfamilynest,2255,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,
53AIJsQ-Onw,https://www.youtube.com/watch?v=53AIJsQ-Onw,MR YANG & EH BEE - MEGA COMPILATION,ehbee,487115,random,0.891,YES,0.765,YES,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.489,CLEAN,0.459,2,,
Ji2k3Q8fe48,https://www.youtube.com/watch?v=Ji2k3Q8fe48,😂DO you know this SONG?!🎵,jhousevlogs,1633880,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.253,CLEAN,0.495,0,,
gHQt1gzVVBQ,https://www.youtube.com/watch?v=gHQt1gzVVBQ,😷It finally CAME OUT!!!🎉,jhousevlogs,4336706,high_conf_clean,0.0,NO,0.78,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.447,CLEAN,0.625,2,,
UXQjcd6aHKY,https://www.youtube.com/watch?v=UXQjcd6aHKY,Opening Entire Advent Calendar in One Day!,karinakurzawa,787461,random,0.751,YES,0.5,ABSTAIN,0.305,NO,1.0,YES,0.992,YES,0.374,NO,0.654,EXPLOITATIVE,0.521,3,,
hmH5PsWrqx0,https://www.youtube.com/watch?v=hmH5PsWrqx0,Last One To Leave The Bubble Ball Wins!,theadventurers,121400,random,0.998,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.713,EXPLOITATIVE,0.622,4,,
2pyexII3GW8,https://www.youtube.com/watch?v=2pyexII3GW8,Best Onyx Family Game Night Videos!,onyxfamily,1381141,low_confidence,0.995,YES,0.707,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.67,YES,0.374,NO,0.624,EXPLOITATIVE,0.332,3,,
Uf77IgZVTL8,https://www.youtube.com/watch?v=Uf77IgZVTL8,our LARGE FAMILY Shops in ONE Brand!!,ohanaadventure,189916,random,0.981,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,1.0,YES,0.374,NO,0.726,EXPLOITATIVE,0.535,3,,
