content_type,target_audience,emotional_tone,commercialization,exploitation_risk,video_id
other,general,neutral,none,low,-zZ2MCuQ_do
other,general,neutral,none,low,k3D5zKVjSnk
other,general,neutral,none,low,nypmlqXvAqY
other,general,neutral,none,low,MzgczMjQ-Uw
other,general,neutral,none,low,nfNpDV7sBBo
other,general,neutral,none,low,3GSn2zoIHrc
other,general,neutral,none,low,vaIE0MkalZI
other,general,neutral,none,low,jbKIAO2tlfA
other,general,neutral,none,low,ul-YvfAfsvw
other,general,neutral,none,low,UkgqM1j3qBs
other,general,neutral,none,low,L9__AYV1wOE
other,general,neutral,none,low,hPgSQfsCtZo
other,general,neutral,none,low,UtFtqHd6Z3g
other,general,neutral,none,low,J-b9i0tNEPQ
other,general,neutral,none,low,ncEYHiiYvk4
other,general,neutral,none,low,246XtiyIKm0
other,general,neutral,none,low,o-VfZWfmzLQ
other,general,neutral,none,low,y-3sri2fsqc
other,general,neutral,none,low,_8mKKYl9PWw
other,general,neutral,none,low,KkdkmRUjMFM
other,general,neutral,none,low,TD3RXRptpIU
other,general,neutral,none,low,EhtkGtBBFCU
other,general,neutral,none,low,EXvWW2E6xpo
other,general,neutral,none,low,k0y9e0_KgGg
other,general,neutral,none,low,LllZitK8nns
other,general,neutral,none,low,uQ7ocxHsaxE
other,general,neutral,none,low,j9OkEQ7hw10
other,general,neutral,none,low,3Ct78X-CwKY
other,general,neutral,none,low,2ReiG0mVnrM
other,general,neutral,none,low,R2dpkxPn8b0
other,general,neutral,none,low,mMgp4T4WjvE
other,general,neutral,none,low,cGoACJpiVKY
other,general,neutral,none,low,D3gTHpkv7kE
other,general,neutral,none,low,1HEcqladzMY
other,general,neutral,none,low,8VfKv3loGw4
other,general,neutral,none,low,3QPc_d2WR0g
other,general,neutral,none,low,3tUPgxTlL4Q
other,general,neutral,none,low,L5JLbsPYUZQ
other,general,neutral,none,low,7yBrC_A6M7E
reaction,family,happy,medium,low,OrNVImqW86Y
challenge,family,excited,medium,low,gNG6QQNu584
tutorial,family,happy,medium,low,1kLrLzVhL0Y
vlog,family,mysterious,low,low,VGYxZ9eQd-0
roleplay,toddler,happy,medium,medium,6WKKpWVGOsc
vlog,family,excited,medium,low,jV_ChTwnpA4
vlog,family,neutral,medium,medium,UGuR3qJ7es0
storytime,family,happy,low,low,sTrXSTi51q4
challenge,family,excited,low,low,p0VoRUmPMP4
toy_play,tween,mysterious,high,medium,65ACpeHxjrk
challenge,family,excited,medium,medium,48_ME-7XzTY
other,family,excited,high,medium,Uc7aO7oupY0
vlog,family,happy,low,medium,x98mkSVak7U
reaction,family,happy,high,medium,BjSY0YqaGDQ
vlog,family,happy,medium,medium,7yfgGn3KJFw
roleplay,toddler,happy,medium,medium,X5Ft1ABsA7M
roleplay,toddler,happy,medium,medium,AtER-q70aF4
other,family,excited,medium,medium,aasf3Y8AcvU
toy_play,young_child,happy,high,medium,kPOrpfR2u_Q
lifestyle,family,neutral,medium,low,uNqK7yQjgjI
challenge,family,excited,low,medium,mPDHn85qbhI
vlog,family,happy,low,medium,UsN0-UAQ91c
vlog,family,excited,medium,medium,uBFQ4Gc59_o
vlog,family,mysterious,medium,medium,imEANdyOgEs
other,family,excited,medium,medium,SvWVo6YmCuY
reaction,family,happy,medium,medium,eKNWQ2bDztc
roleplay,toddler,happy,medium,medium,h6lnfmG1ZpA
vlog,family,neutral,medium,medium,G6F6Ey798gI
challenge,family,happy,medium,medium,BAPDDZh1bjI
challenge,family,excited,low,medium,ZHiOxqfGonA
challenge,family,excited,medium,medium,B9laZCbLYFY
challenge,family,happy,low,medium,5XUhvNGoSd4
roleplay,family,happy,medium,medium,XhOrxp1KqU4
challenge,family,happy,medium,medium,LhuvPgUGb-Q
roleplay,family,happy,medium,medium,flxZ9igq0jc
challenge,family,excited,medium,medium,51FdgDgog_Y
challenge,family,excited,low,medium,xSCj8_w87Js
challenge,family,happy,medium,medium,QjdIphboqrs
game,family,neutral,medium,low,aQfvEVcWzgA
challenge,family,excited,low,medium,ro7ujvly1XE
challenge,family,excited,medium,medium,YM1LBHhSQM4
other,family,excited,medium,medium,9xe1XW4C7X4
other,family,happy,medium,medium,VpWahPUKI7k
vlog,family,neutral,low,low,aZ4fLhWZvNc
other,general,neutral,none,low,ErbTIEV9-vo
other,general,neutral,none,low,DbWz3llRjCE
other,general,neutral,none,low,EgLZ9tHsVaI
other,general,neutral,none,low,Pw6uG2g3LnA
other,general,neutral,none,low,2VosMoh-iD0
other,general,neutral,none,low,A2mx5Jtc1Vk
other,general,neutral,none,low,OzEHVPo6w9o
other,general,neutral,none,low,cAoTZ8jtN6c
other,general,neutral,none,low,IDLfBp57ym0
other,general,neutral,none,low,Oy_IN4a9tMA
other,general,neutral,none,low,gJTylrn2mkY
other,general,neutral,none,low,DwopArb0Y04
other,general,neutral,none,low,3Q23nUNstpc
other,general,neutral,none,low,C4R6hDowwcE
other,general,neutral,none,low,aiq5408M79U
other,general,neutral,none,low,7pZX2IJjmJU
other,general,neutral,none,low,pmezVzroUNY
other,general,neutral,none,low,y3-2A_aI5FA
other,general,neutral,none,low,JpImU1yoRYE
other,general,neutral,none,low,YrLlbu9QSLg
other,general,neutral,none,low,Ak6pSTpRfII
other,general,neutral,none,low,JT0w0XadA74
other,general,neutral,none,low,5tNxOiPwqcQ
other,general,neutral,none,low,qYnZUWCNUA0
other,general,neutral,none,low,_BDkYRCiPxI
other,general,neutral,none,low,7N6eoKxrsW4
other,general,neutral,none,low,iCmAYvyoQ88
other,general,neutral,none,low,QXf5fiEYAmg
other,general,neutral,none,low,mxogJG_xkfU
other,general,neutral,none,low,6R6F371Hj3k
other,general,neutral,none,low,v3xwXBTdh0c
other,general,neutral,none,low,QJf_GPbdOhQ
other,general,neutral,none,low,M4vB2o8Q450
other,general,neutral,none,low,5J86oUxO8os
other,general,neutral,none,low,yXWE5w8So-k
other,general,neutral,none,low,hUci5oAJfZM
other,general,neutral,none,low,aPvVY3f8QX8
other,general,neutral,none,low,9hz8TPER1SU
other,general,neutral,none,low,fns54LfXzI4
other,general,neutral,none,low,K15nbVwNRBU
other,general,neutral,none,low,rzEV7orZe1M
other,general,neutral,none,low,9Q7O1DcqosA
other,general,neutral,none,low,lpzchjL5KZE
other,general,neutral,none,low,R2wwURvtKGQ
other,general,neutral,none,low,RmyJO2N1aiQ
other,general,neutral,none,low,GzoYctrYgRo
other,general,neutral,none,low,CstJBEVmloY
other,general,neutral,none,low,puNyD3WS7dI
other,general,neutral,none,low,Xdx3zRYXilU
other,general,neutral,none,low,BVUU9OHH3nM
other,general,neutral,none,low,GyUbokffXtg
other,general,neutral,none,low,PixiSLAkexk
other,general,neutral,none,low,Cud3x4TQ_0M
other,general,neutral,none,low,m4o2CCB2Fcw
other,general,neutral,none,low,98T5qXFMq-s
other,general,neutral,none,low,W4geBDBDK8I
other,family,excited,low,medium,-Z2fluVs5VI
storytime,family,happy,low,low,wSJ8-3B5e1c
reaction,family,dramatic,low,medium,ZWWf8i_LV44
vlog,family,neutral,low,low,ubXoU_3wqEw
challenge,family,excited,low,medium,dZWo7c5FEXA
challenge,family,mysterious,low,medium,_TGCmpDccD8
toy_play,family,happy,medium,low,q9-FWfnz1kk
drama,family,sad,low,high,SwNnvwbOhpk
music,family,happy,low,low,8OU2sNYWuvM
drama,family,dramatic,low,high,6TvjPjdco-c
vlog,family,excited,medium,low,aF9aM-rIpjc
storytime,family,dramatic,low,medium,fQWR2NidRQo
toy_play,tween,neutral,medium,low,YbTmCALNurc
vlog,family,excited,medium,low,vhS9ztcjrKs
challenge,family,neutral,low,medium,rXfOkO04RZc
vlog,family,happy,medium,low,c9r_2J1MePQ
vlog,family,excited,medium,low,p8Moji13aGc
tutorial,family,neutral,medium,low,l-BGalDQ_qc
storytime,family,neutral,low,medium,XFQTKU3T-ck
challenge,family,excited,low,medium,UJaiO_KuREg
game,family,excited,low,medium,e1ej-3WIaV0
challenge,family,excited,low,medium,hv5Wkl0RVEo
challenge,tween,excited,low,medium,FE4_PReBqGQ
music,tween,happy,low,low,gV5k5GA8QQ0
other,general,neutral,low,low,r0XkU_8LEfQ
lifestyle,family,neutral,medium,low,tkc7ZvlgMlo
prank,family,excited,low,medium,CuGrVpdgx9E
storytime,family,urgent,low,high,Iy1t0b2uegM
storytime,family,happy,low,low,yfVW-r5gYDk
unboxing,family,excited,high,low,5AzcVGjPTUI
drama,family,dramatic,low,high,AWO60UHe86M
storytime,family,dramatic,low,medium,FS1iKDX3waI
toy_play,young_child,happy,medium,low,x30xqTly4Lw
vlog,family,happy,low,low,xtVKbflA-6A
lifestyle,family,neutral,low,low,0wIKqbvMMLA
educational,family,neutral,low,low,wozz1YaQX84
lifestyle,family,happy,low,low,eG7A3AgmjqY
music,teen,happy,low,low,1cW-XF3DMKo
tutorial,family,happy,low,low,Y0uBoEeFBRs
other,general,neutral,none,low,c-pIQij6t-M
other,general,neutral,none,low,-xS9RbOyFHk
other,general,neutral,none,low,pCVHT4pUhXQ
other,general,neutral,none,low,Ir4P_-0zZUw
other,general,neutral,none,low,doOaEYbUkZQ
other,general,neutral,none,low,do8y54Uo9xw
other,general,neutral,none,low,sJIXqhXMFvQ
other,general,neutral,none,low,CeCLuWQdFZ4
other,general,neutral,none,low,jchnXu_GjFU
other,general,neutral,none,low,7MwWVk-6-R8
other,general,neutral,none,low,gVEN5uUAa2M
other,general,mysterious,low,low,ZiChaWnH7zE
vlog,general,neutral,none,low,EmHyUTl4Fds
vlog,family,neutral,low,medium,X2Vjb_W9DfU
toy_play,young_child,happy,medium,medium,9QGNElKNf-g
challenge,family,excited,low,medium,QzVzYNrVkxw
mukbang,family,excited,high,low,bItqSS8LYaE
toy_play,family,happy,high,medium,rwbozf1GJ-M
storytime,family,dramatic,low,medium,1ll3pMEHswU
vlog,family,dramatic,low,medium,unzAmyHdXJQ
storytime,family,happy,medium,medium,PJlAPx4Horw
storytime,toddler,happy,low,high,JIf5FXfuGv4
vlog,family,happy,low,medium,shGkowjL0iI
drama,family,dramatic,low,medium,B43WUkSYQew
vlog,family,neutral,low,medium,pGX5rWtr7nA
toy_play,young_child,happy,medium,medium,bzQTorsZlKE
haul,family,happy,high,medium,EKW_unvOhn0
reaction,family,happy,low,low,a8uF_2RxihQ
vlog,family,neutral,low,low,pLjXwTz4yus
storytime,family,dramatic,low,medium,d7Bi22N1jvo
toy_play,young_child,happy,medium,medium,xPLqh_fFOKU
storytime,family,dramatic,medium,medium,HLPKKvlqqo4
vlog,family,neutral,medium,medium,n1TGCocBLCk
storytime,family,happy,low,medium,WBsYThORtug
toy_play,young_child,happy,medium,medium,9qqqeo9l-3o
lifestyle,family,happy,low,medium,q1KD0KonRwo
vlog,family,neutral,low,medium,RhOGbHu8i2Y
storytime,family,dramatic,low,medium,Wfwn0ywVjzA
vlog,family,happy,low,medium,P0DdaDG4jmM
storytime,family,sad,low,high,FxUfjie00C4
drama,family,dramatic,low,medium,HnYnJqyoIxc
toy_play,young_child,happy,medium,medium,rMavSkf3yio
vlog,family,excited,medium,medium,oV4egHXL3No
storytime,family,dramatic,low,medium,JACmb-TxM4k
lifestyle,young_child,happy,low,low,UlioSkbYapQ
reaction,family,neutral,low,low,MfGpbPBY0eU
vlog,general,neutral,none,low,odXvXBBkLY0
drama,family,urgent,low,high,Ag5EtYiYutw
vlog,family,happy,low,medium,rtwxd63V9i4
challenge,family,excited,low,medium,oorpqvK6ZuU
toy_play,young_child,happy,medium,medium,sQ1P3V6mIrI
lifestyle,family,happy,medium,medium,pG3ql60CkDI
toy_play,young_child,happy,medium,medium,o2LPcX33S3o
reaction,family,happy,low,low,gZtFADiLRe4
vlog,general,excited,low,low,P6zaS_2_K4I
storytime,family,urgent,low,high,lh597W1mqlA
lifestyle,toddler,happy,low,low,8ZjzJu3Kg78
other,general,neutral,none,low,Q-tghfrMxaI
other,general,neutral,none,low,S9MV2Dry5B4
other,general,neutral,none,low,WAN-Yxsmb3U
other,general,neutral,none,low,V11E2tFxYgk
other,general,neutral,none,low,74Epq_m-Ii4
other,general,neutral,none,low,FV_VuwjxPxs
other,general,neutral,none,low,Vq9-ynfU1KM
other,general,neutral,none,low,cCbLEIfHa4s
other,general,neutral,none,low,_Nv1EzMnRpk
other,general,neutral,none,low,jiFD0wxTPoc
other,general,neutral,none,low,MuClE_GnxMM
other,general,neutral,none,low,PJPopXo2JNc
other,general,neutral,none,low,KLO0WXru-yI
other,general,neutral,none,low,CbJWLbn3_-E
other,general,neutral,none,low,Ib5pvJ9s8qM
other,general,neutral,none,low,i1ncbGXpC7o
other,general,neutral,none,low,rzYe6jdSJbE
other,general,neutral,none,low,j3lFg6TItQs
other,general,neutral,none,low,SjNjUCtXB5A
other,general,neutral,none,low,8SmxKXT9_Ww
other,general,neutral,none,low,zMPm5Ybnw6M
other,general,neutral,none,low,RZirObOhzSk
other,general,neutral,none,low,5KeOJgBrVdE
other,general,neutral,none,low,hQpHozkPu6I
other,general,neutral,none,low,m9MmngQecog
other,general,neutral,none,low,uM-CMVMCAWQ
other,general,neutral,none,low,E2COdEnqRhc
other,general,neutral,none,low,62PYfTXB3FU
other,general,neutral,none,low,1Zjx4ITQUE0
other,general,neutral,none,low,pAy7mI3s4Uw
other,general,neutral,none,low,263fAaOMzSU
other,general,neutral,none,low,NnnXziRO0YM
other,general,neutral,none,low,UvyjsYC8utM
other,general,neutral,none,low,P2FtCX1Jyp8
other,general,neutral,none,low,uYYHTwTWuCY
other,general,neutral,none,low,LGfuWpb8KBs
other,general,neutral,none,low,tM-1l0uYNtA
other,general,neutral,none,low,RxbmSXxp-k0
other,general,neutral,none,low,GgTwMDX6kEg
other,general,neutral,none,low,ZXlwf4fRYxU
other,general,neutral,none,low,8cCN2NNGzyQ
other,general,neutral,none,low,L-ty96YVx1E
other,general,neutral,none,low,90ap_6pukz8
other,general,neutral,none,low,n1im2gPYoBk
other,general,neutral,none,low,V7IVHKEa1T8
other,general,neutral,none,low,1kRtcoaw3J8
other,general,neutral,none,low,L5gG4HIUxJA
other,general,neutral,none,low,bRZwIE5G-sk
other,general,neutral,none,low,NTYQ1VnUUkQ
other,general,neutral,none,low,-2ZhvwO1Uw0
other,general,neutral,none,low,t-nQKe3a2wM
other,general,neutral,none,low,dEo0mGg7HA4
other,general,neutral,none,low,gKyif-XFNLQ
other,general,neutral,none,low,WLyYKildEes
mukbang,general,excited,medium,low,H1oXlZVU3Wg
unboxing,teen,excited,high,low,VeiKrzUsHTc
storytime,teen,dramatic,low,low,fgKgybCcTBs
unboxing,teen,excited,medium,low,FIxQP8vA6EA
prank,teen,happy,low,medium,GsjAQvRMPIE
unboxing,teen,excited,medium,low,F_UkRjs4Mpg
tutorial,teen,excited,low,low,S748cvd8lcQ
challenge,teen,dramatic,low,medium,8v_fyu4SWzk
challenge,teen,excited,low,medium,aGntDKgM-v0
reaction,teen,neutral,medium,low,oXg5TKvCBhM
unboxing,teen,excited,high,low,cxP7NYUwgO8
game,general,excited,medium,low,x686igAcYoo
tutorial,teen,excited,low,low,RC-ipbX2ID4
unboxing,teen,excited,high,low,_Y9FuxgUy5Q
challenge,teen,dramatic,low,medium,29M_8vm8Xz8
vlog,teen,excited,low,low,hYYsQIqrDa4
unboxing,teen,excited,high,low,Tj7R7AJnixk
unboxing,teen,excited,high,low,G9BACywYX1w
unboxing,teen,excited,medium,low,FMDihkFpUTc
reaction,teen,dramatic,medium,low,U-jYItX_Yvg
mukbang,general,neutral,low,low,2NFBNTDOAi8
mukbang,general,neutral,low,low,IUuAZs-Q6TY
unboxing,teen,mysterious,medium,low,0sMQWxXSH_4
tutorial,teen,excited,low,low,uHwDnY9EKHc
storytime,general,dramatic,medium,medium,y6p0WSQF57U
vlog,teen,excited,low,medium,F11Gg5-nBfY
unboxing,teen,excited,high,low,LkC3hdx6sKY
challenge,teen,excited,low,low,lpKPWIsM0cw
challenge,teen,excited,low,medium,4-vqDAQ32FE
vlog,general,happy,low,medium,S1G3RIjc_l8
unboxing,teen,excited,high,low,gbiFfxgVVSo
unboxing,teen,excited,high,low,T2CFfCKzctw
challenge,teen,excited,medium,low,dSpTRBgu8X0
challenge,teen,excited,medium,low,IR5g9U5EZCo
challenge,teen,excited,medium,low,P-jE6P8iBQg
other,general,neutral,low,medium,ilvh7PShS9c
storytime,family,dramatic,low,high,Vrv8JmHvSbA
challenge,teen,urgent,low,medium,KDSzCGkhSkM
drama,teen,dramatic,low,medium,6dYiRlbWwy8
game,family,excited,low,low,JYI95jCLBPk
game,family,happy,low,low,SaWRKSpMurY
vlog,family,excited,low,medium,Q7YTUdvGaT8
challenge,general,happy,low,low,Bpz-vM7UW9U
challenge,family,happy,low,medium,CTqNWDlt7PM
challenge,family,happy,low,low,MRF1vY6RNqY
challenge,tween,happy,low,low,SxSA-a7zVhI
other,general,neutral,none,low,c65wnT5hM5w
other,general,neutral,none,low,o4x8A04EozY
other,general,neutral,none,low,9SAi_DX3ZVY
other,general,neutral,none,low,zgYs2Qnk3sY
challenge,family,excited,medium,medium,pfLM6dtAM0g
unboxing,family,excited,high,low,p81SjnAFxps
roleplay,family,happy,medium,medium,sR0DLq2lMzU
storytime,teen,dramatic,low,medium,N8Kgz2wn6f4
vlog,family,neutral,low,medium,JNMGrbHYUUM
behind_the_scenes,family,neutral,low,low,Wfg-ucn4AbY
prank,family,happy,low,high,HhPY-QjxtHQ
roleplay,family,happy,medium,medium,dph7FUCjvLM
challenge,family,excited,medium,medium,u-n28E_MHf8
vlog,family,dramatic,low,medium,EXUuKYHyXPY
music,family,happy,low,low,Eg8OvSxmEIM
challenge,family,excited,high,low,rWK-xy4tq4k
vlog,family,dramatic,low,medium,-z8LgaxZEdM
challenge,family,excited,medium,medium,8s3G77tC28w
challenge,family,excited,medium,medium,BqbaDMNjCtY
challenge,family,excited,medium,medium,ahhe_Q210bs
educational,family,mysterious,low,low,aVzVjrpmmJI
challenge,family,excited,medium,medium,9eE0GTSsNrk
vlog,family,neutral,low,high,F8rhHf-Q23c
educational,family,neutral,medium,low,Dr1-Jhr22jc
drama,family,dramatic,low,medium,YRzZEXlkdMQ
challenge,family,excited,medium,medium,Ld4VQrUYd08
lifestyle,family,happy,medium,medium,Zf23JqCZxlU
challenge,family,happy,medium,medium,fT3Q00EPJ9c
drama,general,dramatic,high,high,7hneK7fOIWA
prank,family,excited,low,medium,C6aKA3C5Ow8
vlog,family,happy,medium,medium,EVavaq5bIQw
roleplay,family,happy,medium,medium,WSNPvVFV3JA
challenge,family,excited,medium,medium,dARtcG5DFkY
music,family,happy,low,low,uQDzZp3g3kY
storytime,family,sad,low,high,-AUuDeSALFc
challenge,family,excited,medium,medium,IQKsK8HvgN8
drama,family,dramatic,medium,medium,IHbM6f9u-q0
challenge,family,excited,medium,medium,grdLycdY0Z0
drama,family,excited,medium,medium,cEB9Y3rAC4E
vlog,general,neutral,medium,medium,3VGhDJiQRkA
challenge,family,excited,medium,medium,gdpFwSpq1Ac
challenge,family,excited,medium,medium,FjOgvbIH5Vk
game,family,happy,medium,medium,zsJea1H9PFk
other,general,neutral,none,low,uoVZkYVGpXk
other,general,neutral,none,low,4Xzw3WjqsG4
other,general,neutral,none,low,sic_A9CZxzw
other,general,neutral,none,low,WJ1GkCtuMQg
other,general,neutral,none,low,YnDNN1HkRSQ
other,general,neutral,none,low,1FPJxGYElBo
other,general,neutral,none,low,Aw6Lkc-m304
other,general,neutral,none,low,fdbgsx38_Xg
other,general,neutral,none,low,41W2u25eRAU
other,general,neutral,none,low,_gvYCiw4vh4
other,general,neutral,none,low,SGvZJ1fulPQ
other,general,neutral,none,low,HQ7J1kVYPmw
other,general,neutral,none,low,1MnD8z4n63k
other,general,neutral,none,low,TdW3eMUymPo
other,general,neutral,none,low,phgSrIr0jG0
other,general,neutral,none,low,2G87uyT2cwY
other,general,neutral,none,low,41BiVtY58i8
other,general,neutral,none,low,k5WJTvWpeRc
other,general,neutral,none,low,n4xyz3Fc4jI
other,general,neutral,none,low,ury4LPrMM9s
other,general,neutral,none,low,K2lGZw62i00
other,general,neutral,none,low,0v_o5A5uVhU
other,general,neutral,none,low,Ccl_qdxMYN4
other,general,neutral,none,low,pDPE0X29g-k
other,general,neutral,none,low,0ECiqci-Tdw
other,general,neutral,none,low,cxGJKP88hE8
other,general,neutral,none,low,ztsoFB9i5Ko
other,general,neutral,none,low,EJjS4urp18o
other,general,neutral,none,low,ClByqa4EOcs
other,general,neutral,none,low,t37_FN77JPU
other,general,neutral,none,low,52g5nzKO-e8
other,general,neutral,none,low,zwWylxGTlOk
other,general,neutral,none,low,PcusZbBuBig
other,general,neutral,none,low,qmAhBP3hx2g
other,general,neutral,none,low,m4iDAxiTOYA
other,general,neutral,none,low,WyB4NVtonTs
other,general,neutral,none,low,J6kj021vKw4
other,general,neutral,none,low,_wlj8rECGsY
other,general,neutral,none,low,S3PziU6vaJ4
other,general,neutral,none,low,16LtaND9038
other,general,neutral,none,low,ZQYJcVAlQdI
other,general,neutral,none,low,F3DTNnamtI0
other,general,neutral,none,low,LuCGb5ZXlDA
other,general,neutral,none,low,IR5CH_zbUtw
other,general,neutral,none,low,OGSAGYbsP5E
other,general,neutral,none,low,PSkcC7CG51U
other,general,neutral,none,low,dXuMMMtMgLI
other,general,neutral,none,low,o5NeRoFojxw
other,general,neutral,none,low,cxxmBiAIXGI
other,general,neutral,none,low,GyHSDeuiOlc
other,general,neutral,none,low,TvknIbIIu50
other,general,neutral,none,low,JStnNunJog0
other,general,neutral,none,low,uBu6nQHYBjY
other,general,neutral,none,low,ICHv_00h0_8
other,general,neutral,none,low,P1NM2FM5WcY
other,general,neutral,none,low,lKw2YtGrcrM
other,general,neutral,none,low,dZNZE00beLQ
other,general,neutral,none,low,vhbyTTqVAjE
other,general,neutral,none,low,BHg8w49lHfQ
other,general,neutral,none,low,3qUpyUeskHI
other,general,neutral,none,low,EiqA-xhTJbU
vlog,family,happy,low,medium,vWKxg7nSmFc
vlog,family,excited,medium,low,2YPQrG1lsJw
drama,family,dramatic,low,medium,cQmsSfN4SHI
shopping,family,happy,medium,low,onGhtv4Ez70
storytime,family,dramatic,low,medium,HOZbtzHz5tI
storytime,family,dramatic,low,medium,hSM9ju-DjxM
drama,family,urgent,low,medium,FFs9bQeaic4
shopping,family,excited,medium,low,pMVvoEgYkZI
vlog,teen,excited,low,low,nAk-mLphCbQ
drama,family,dramatic,low,medium,LSp2_2XX6F4
vlog,family,happy,low,medium,DugUutp96ys
storytime,family,neutral,low,medium,TVAsYVAjisg
unboxing,family,excited,high,medium,3VpP6UNqmII
vlog,family,neutral,low,medium,lEkPx5x9HAY
drama,family,sad,low,high,cj7ZNfkiYQ4
storytime,family,sad,low,high,XThvsN0SB2k
toy_play,toddler,happy,medium,medium,dubw90a_Ybk
vlog,family,neutral,low,medium,x9whfoArD0M
vlog,family,neutral,low,medium,fBc8-cnVwJE
lifestyle,family,happy,medium,medium,2ByqPEJENAA
other,family,happy,high,medium,yhB7gwiigbU
unboxing,family,excited,high,medium,3n-2KnBkrRA
vlog,family,dramatic,low,medium,PmoaIuS13eE
lifestyle,family,neutral,low,medium,-lsmCY7Kft8
drama,family,dramatic,low,medium,2DaJfqT53lI
vlog,family,neutral,low,medium,fQSDDlKuEHY
vlog,family,happy,low,medium,YW-DMkfN40Q
storytime,family,dramatic,low,high,c-UtJbhP3Sg
vlog,family,neutral,low,medium,wYlXjn02MjA
vlog,family,sad,low,high,xSiF-nitpS0
toy_play,toddler,happy,medium,medium,aAL0U9RSXLg
storytime,family,neutral,low,medium,uJKln2ilH-E
roleplay,young_child,neutral,low,medium,wP7NN6nV2EQ
challenge,teen,excited,low,low,pW5slv5p81A
storytime,teen,dramatic,low,medium,veIOue2FlFk
challenge,general,dramatic,low,medium,-Gm2_GwSWf0
vlog,tween,neutral,low,low,TDFKau7sA_o
other,general,neutral,none,low,LRGJs7D6hNc
other,general,neutral,none,low,Sb9NeWhUzbI
other,general,neutral,none,low,U3sDVUJ54II
other,general,neutral,none,low,7EHod52Xz_Q
other,general,neutral,none,low,ed2XAqQOcEE
other,general,neutral,none,low,-rbC2zPyv5o
other,general,neutral,none,low,axHot1FvcYc
other,general,neutral,none,low,75VHfV3Y8Bk
other,general,neutral,none,low,8LWobFWuGbc
other,general,neutral,none,low,cKgdE0wQxfg
other,general,neutral,none,low,9CJENT77Ly8
other,general,neutral,none,low,ybX1LDsp2rM
other,general,neutral,none,low,DixOr9Nt_c0
vlog,teen,excited,low,low,-YajYIC3YUY
storytime,teen,happy,none,low,IRBvyABP1ho
lifestyle,teen,happy,medium,low,sZKMyRyIE-M
mukbang,general,neutral,low,low,TNykw23SJUY
toy_play,family,happy,high,low,r5fLlgOT7ZM
vlog,teen,excited,medium,low,LaobYnrojQg
vlog,family,excited,low,low,hZzqnyr_Ev0
vlog,teen,excited,medium,low,2apY0ISBM9I
vlog,teen,happy,low,low,omRWTM-YJaA
roleplay,tween,happy,low,low,E_0Jz2-5S3c
challenge,family,excited,low,low,Nm5MkpjsI3o
vlog,teen,excited,low,low,KFyDhIydSR8
toy_play,family,happy,high,low,EcmrRZiVmFc
storytime,teen,happy,low,low,BTK3U2E3-DE
storytime,family,happy,low,low,ca9KC8Lrw14
roleplay,tween,excited,low,low,ADmLf0NWJUk
unboxing,family,excited,medium,low,KgAqPvazCjo
vlog,teen,excited,low,low,PXcTsewQQe0
storytime,teen,excited,low,low,BJ7Phbv8pDI
storytime,teen,happy,low,low,SDFoXX8aRkE
challenge,family,excited,low,low,dqSLL-3PKuE
game,teen,excited,medium,low,_9N3kFyIXKU
challenge,teen,excited,low,low,dLTefTlJdfI
lifestyle,teen,happy,medium,low,uEeEjoz8BYo
educational,teen,mysterious,low,low,ElnSyyt6LnU
toy_play,family,happy,high,low,gGnnn5lf4Rk
lifestyle,family,happy,medium,low,eeB3cC3KSo0
vlog,teen,neutral,low,low,xzxhRLm5hNU
storytime,teen,dramatic,low,medium,WPhc56zX4tI
storytime,teen,dramatic,low,medium,ZdFEWNBsQcE
vlog,teen,happy,medium,low,BYNidm_kkaQ
vlog,family,happy,low,low,yX64ngLtBZg
educational,teen,mysterious,low,low,WnkTVXw9Cm8
storytime,teen,excited,low,low,XUYi6S18SHo
challenge,family,excited,low,medium,oZGv7qKRef0
educational,teen,dramatic,low,low,RTH1oCit03I
storytime,teen,sad,low,medium,SEMjDCd8Cm8
storytime,teen,sad,low,medium,7H8RL5jZT08
tutorial,teen,neutral,low,low,BJLgMF-zYtM
storytime,teen,dramatic,low,medium,PwxSlxSDKnc
vlog,teen,neutral,low,low,1dpXGuLlNAE
storytime,family,happy,low,low,wujAEGPVVuA
vlog,general,neutral,medium,low,Cya2YaDxqak
other,general,neutral,none,low,YA1nsR-TiGI
other,general,neutral,none,low,Vd6IZW-_yOU
other,general,neutral,none,low,46ZK78f-PLk
other,general,neutral,none,low,kMdTAfGH54Q
other,general,neutral,none,low,-8bMxIkv2SA
other,general,neutral,none,low,ZsFlLiJms9w
other,general,neutral,none,low,Wf1Z8D25f68
other,general,neutral,none,low,tMEauWOPiUY
other,general,neutral,none,low,M2Oy1OI8-9w
other,general,neutral,none,low,BOcjLijaVhU
other,general,neutral,none,low,tqkBkSqAYoM
other,general,neutral,none,low,BWpI4U5hbj0
other,general,neutral,none,low,7XEPuB1QYfI
other,general,neutral,none,low,Nld0NDBKYfA
other,general,neutral,none,low,s6LNY0-cMAA
other,general,neutral,none,low,-V8yuIq7p2g
other,general,neutral,none,low,IelhMwMTVqA
other,general,neutral,none,low,BBM_73kDdL4
other,general,neutral,none,low,MM6KRPlioaw
other,general,neutral,none,low,LyEES4S_Dr8
other,general,neutral,none,low,wVyPKIvBu8Y
other,general,neutral,none,low,bp7l25po9TQ
